price,open,relvolume,symbol,percentchange,high,low,watchers,hourchange,sentiment
121.35,120.14,0.5851,EA,0.7472,121.65,119.6,20708,0,8.33
130.16,129.91,0.5897,JPM,-0.1151,131.44,129.41,82517,2,2.86
104.36,102.39,0.5137,GOOGL,0.6073,104.53,102.11,160023,1,2.75
279.65,275.09,0.736,NVDA,0.6768,280.0,273.36,420852,0,1.61
91.33,90.41,1.0137,SONY,0.7501,91.38,90.41,2088,0,0.0
6.03,6.14,0.8172,SOFI,-0.659,6.275,5.94,91842,-2,-1.13
5.11,4.99,0.4861,AMC,1.996,5.145,4.94,412624,17,-0.91
32.89,32.94,1.0724,INTC,0.6734,33.56,32.54,131143,-1,0.34
287.23,286.52,0.6614,MSFT,-0.3711,288.27,283.95,442840,0,0.95
132.06,130.97,0.5014,IBM,0.7399,132.61,130.77,51354,1,2.17
469.19,463.3,0.4395,NOC,1.6179,471.55,462.65,8034,0,0.0
194.77,199.91,0.9487,TSLA,-6.1168,202.6897,192.2,890379,8,-0.49
166.17,164.27,0.6998,AAPL,0.7702,166.29,164.27,877095,7,2.26
213.07,208.84,0.5014,META,0.5332,213.4861,208.2001,512478,2,2.24
202.6,213.98,0.7684,ENPH,-3.6523,215.8856,201.6293,37376,0,1.19
9.29,9.64,0.4915,CVNA,-5.1073,10.16,9.085,23353,-4,-0.85
102.41,102.3,0.5293,AMZN,-0.852,103.29,101.43,587698,5,1.52
96.56,96.695,0.7543,AMD,-1.4794,96.79,94.81,456501,0,-0.2
