symbol,percentchange,open,high,relvolume,low,price,watchers,hourchange,sentiment
IBM,0.0232,129.18,129.66,0.4651,128.8,129.34,51347,5,1.62
AAPL,-0.398,157.97,158.1277,0.5555,155.98,157.65,876655,2,-2.81
MSFT,-0.4161,275.79,276.13,0.5713,272.05,275.23,442485,0,-2.16
AMD,-2.1219,96.77,96.93,0.907,92.87,94.56,456316,1,-0.35
JPM,0.3035,128.71,129.3417,0.7437,127.75,128.88,82446,0,-4.76
EA,-0.5226,118.085,118.4425,0.5197,117.38,118.02,20714,0,4.44
NOC,0.1637,458.31,461.5,0.3387,457.59,459.0,8020,2,0.0
META,-1.0649,200.15,201.03,0.535,197.9,200.68,512229,1,-3.87
NVDA,-0.4561,264.47,265.13,0.6755,258.5,264.1,420428,3,-1.21
TSLA,-1.3659,192.0,192.35,0.5363,185.43,189.19,889584,0,-3.17
SONY,-0.9464,86.11,86.6682,0.8063,85.74,85.82,2081,0,0.0
AMZN,-0.816,98.11,98.44,0.4953,96.29,97.24,587289,3,-1.74
SOFI,-2.9514,5.74,5.79,0.5751,5.51,5.59,91751,-2,-0.12
AMC,13.1868,4.51,5.5,2.4732,4.46,5.15,412308,24,1.24
INTC,0.377,29.075,29.33,0.6633,28.63,29.29,130890,-1,-1.2
GOOGL,-1.3957,102.44,102.4,0.707,99.7401,101.03,159815,0,-4.78
CVNA,-3.4121,7.57,7.72,0.235,7.22,7.36,23380,2,0.16
ENPH,-1.1796,196.0,196.515,0.3801,190.624,193.52,37300,0,-2.57
