percentchange,relvolume,low,open,symbol,price,high,watchers,hourchange,sentiment
13.1868,2.4732,4.46,4.51,AMC,5.15,5.5,412322,14,1.17
0.377,0.6633,28.63,29.075,INTC,29.29,29.33,130890,0,-1.36
-1.3957,0.707,99.7401,102.44,GOOGL,101.03,102.4,159813,-2,-5.12
-3.4121,0.235,7.22,7.57,CVNA,7.36,7.72,23380,0,-0.01
-1.1796,0.3801,190.624,196.0,ENPH,193.52,196.515,37300,0,-2.55
0.0232,0.4651,128.8,129.18,IBM,129.34,129.66,51347,0,1.62
-0.398,0.5555,155.98,157.97,AAPL,157.65,158.1277,876657,2,-2.5
-0.4161,0.5713,272.05,275.79,MSFT,275.23,276.13,442488,3,-2.1
-2.1219,0.907,92.87,96.77,AMD,94.56,96.93,456319,3,-0.51
0.3035,0.7437,127.75,128.71,JPM,128.88,129.3417,82450,4,-4.75
-0.4561,0.6755,258.5,264.47,NVDA,264.1,265.13,420426,-2,-1.18
0.1637,0.3387,457.59,458.31,NOC,459.0,461.5,8020,0,3.57
-0.5226,0.5197,117.38,118.085,EA,118.02,118.4425,20714,0,4.44
-1.0649,0.535,197.9,200.15,META,200.68,201.03,512232,3,-4.04
-0.9464,0.8063,85.74,86.11,SONY,85.82,86.6682,2081,0,0.0
-1.3659,0.5363,185.43,192.0,TSLA,189.19,192.35,889590,6,-3.09
-2.9514,0.5751,5.51,5.74,SOFI,5.59,5.79,91751,0,-0.17
-0.816,0.4953,96.29,98.11,AMZN,97.24,98.44,587292,3,-1.45
