high,open,low,relvolume,symbol,percentchange,price,watchers,hourchange,sentiment
121.65,120.14,119.6,0.5851,EA,0.7472,121.35,20708,0,8.33
131.44,129.91,129.41,0.5897,JPM,-0.1151,130.16,82515,0,2.48
104.53,102.39,102.11,0.5137,GOOGL,0.6073,104.36,160022,2,2.83
280.0,275.09,273.36,0.736,NVDA,0.6768,279.65,420852,4,1.35
91.38,90.41,90.41,1.0137,SONY,0.7501,91.33,2088,0,0.0
6.275,6.14,5.94,0.8172,SOFI,-0.659,6.03,91844,1,-1.09
5.145,4.99,4.94,0.4861,AMC,1.996,5.11,412607,15,-0.24
33.56,32.94,32.54,1.0724,INTC,0.6734,32.89,131144,0,0.52
288.27,286.52,283.95,0.6614,MSFT,-0.3711,287.23,442840,4,0.29
132.61,130.97,130.77,0.5014,IBM,0.7399,132.06,51353,-1,2.17
471.55,463.3,462.65,0.4395,NOC,1.6179,469.19,8034,0,0.0
202.6897,199.91,192.2,0.9487,TSLA,-6.1168,194.77,890371,5,-0.74
166.29,164.27,164.27,0.6998,AAPL,0.7702,166.17,877088,1,2.15
213.4861,208.84,208.2001,0.5014,META,0.5332,213.07,512476,3,2.09
215.8856,213.98,201.6293,0.7684,ENPH,-3.6523,202.6,37376,3,1.41
10.16,9.64,9.085,0.4915,CVNA,-5.1073,9.29,23357,-1,-0.11
103.29,102.3,101.43,0.5293,AMZN,-0.852,102.41,587693,4,1.18
96.79,96.695,94.81,0.7543,AMD,-1.4794,96.56,456501,2,-0.6
