price,open,high,relvolume,symbol,low,percentchange,watchers,hourchange,sentiment
4.34,4.73,4.73,0.8468,AMC,4.31,-1.5873,411913,1,4.0
127.18,130.56,130.655,1.1652,JPM,127.0843,-2.5814,82275,0,0.18
157.83,159.3,162.14,0.893,AAPL,157.81,-0.9103,876238,3,0.47
113.16,114.29,115.1,0.8082,EA,113.14,-1.5486,20724,0,25.0
5.56,5.79,6.03,1.6018,SOFI,5.54,-0.1795,91661,1,2.39
28.13,28.48,29.12,0.735,INTC,28.1,-1.1595,130857,-1,-8.44
97.58,95.65,101.7,1.7963,AMD,95.645,1.72,456057,8,-3.85
103.37,104.27,106.59,1.0266,GOOGL,103.33,-1.4773,159666,5,-6.06
98.7,100.45,102.1,0.7426,AMZN,98.61,-1.8984,586932,11,-1.58
8.43,10.15,10.25,1.7855,CVNA,8.4,6.3052,23434,0,8.79
87.44,88.91,89.0699,0.9838,SONY,87.44,-2.1596,2080,0,0.0
202.15,209.65,211.22,0.8075,ENPH,202.0,-2.6393,37246,2,-0.17
199.81,202.5,207.37,0.8014,META,199.67,-1.1624,511876,4,2.28
191.15,199.3,200.66,0.7976,TSLA,190.95,-3.2544,889119,16,-1.56
272.29,273.4,281.04,0.9473,MSFT,272.22,-0.5442,442098,6,1.1
264.68,264.25,275.89,1.5517,NVDA,262.37,1.0268,419791,13,0.84
443.6,450.22,452.4,0.5627,NOC,443.085,-1.4178,8008,0,-18.18
124.05,127.0,127.215,0.5477,IBM,124.01,-1.991,51324,0,16.67
