percentchange,open,symbol,relvolume,low,high,price,watchers,hourchange,sentiment
0.4837,128.28,EA,0.4949,128.15,129.56,128.8,20704,0,0.0
-0.6058,478.4,NOC,0.4428,472.07,478.4,474.18,8041,0,8.57
-0.5846,166.09,AAPL,0.6838,165.56,167.87,166.65,878285,1,-2.83
0.0317,130.15,IBM,1.7117,125.84,130.98,126.36,51476,-2,4.14
-1.2193,213.48,META,0.4419,212.77,216.75,213.07,513000,0,-2.5
0.2319,220.5,ENPH,0.5575,219.31,226.26,224.79,37479,0,1.54
-0.4698,103.53,AMZN,0.7877,103.21,105.24,103.81,588848,10,-1.3
-0.931,30.76,INTC,0.5128,30.71,31.25,30.86,131291,-2,-2.63
-7.3001,8.3,CVNA,0.3562,7.91,8.51,8.0,23278,0,-7.97
0.189,88.825,AMD,0.7047,88.75,91.575,90.11,456931,2,-0.41
-2.549,5.0,AMC,0.2431,4.89,5.02,4.97,413196,1,0.1
-2.9609,276.71,NVDA,0.791,270.0,280.3,271.04,422014,1,1.57
0.4507,90.97,SONY,0.7099,90.915,92.275,91.38,2090,0,0.0
1.0655,103.91,GOOGL,0.5805,103.8684,106.25,105.29,160588,0,-0.82
-2.6316,5.98,SOFI,0.5018,5.88,6.045,5.92,91966,0,-0.21
-9.7458,166.165,TSLA,1.261,160.56,169.55,162.99,892550,21,-6.2
-0.2903,139.91,JPM,0.5739,140.17,141.4299,140.81,82975,0,-1.35
-0.8112,285.25,MSFT,0.5981,285.08,289.03,286.11,443702,0,-2.88
