symbol,low,percentchange,high,price,open,relvolume,watchers,hourchange,sentiment
AAPL,155.98,-0.398,158.1277,157.65,157.97,0.5555,876653,-3,-3.16
MSFT,272.05,-0.4161,276.13,275.23,275.79,0.5713,442485,-1,-2.16
AMD,92.87,-2.1219,96.93,94.56,96.77,0.907,456315,6,-0.56
JPM,127.75,0.3035,129.3417,128.88,128.71,0.7437,82446,-4,-4.76
NOC,457.59,0.1637,461.5,459.0,458.31,0.3387,8018,2,0.0
EA,117.38,-0.5226,118.4425,118.02,118.085,0.5197,20714,-1,4.44
META,197.9,-1.0649,201.03,200.68,200.15,0.535,512228,8,-3.87
NVDA,258.5,-0.4561,265.13,264.1,264.47,0.6755,420425,2,-1.21
TSLA,185.43,-1.3659,192.35,189.19,192.0,0.5363,889584,-1,-3.17
SONY,85.74,-0.9464,86.6682,85.82,86.11,0.8063,2081,0,0.0
AMZN,96.29,-0.816,98.44,97.24,98.11,0.4953,587286,26,-1.74
AMC,4.46,13.1868,5.5,5.15,4.51,2.4732,412284,203,1.03
SOFI,5.51,-2.9514,5.79,5.59,5.74,0.5751,91753,-2,0.06
INTC,28.63,0.377,29.33,29.29,29.075,0.6633,130891,0,-1.2
CVNA,7.22,-3.4121,7.72,7.36,7.57,0.235,23378,-9,-0.12
GOOGL,99.7401,-1.3957,102.4,101.03,102.44,0.707,159815,-2,-4.78
ENPH,190.624,-1.1796,196.515,193.52,196.0,0.3801,37300,2,-2.44
IBM,128.8,0.0232,129.66,129.34,129.18,0.4651,51342,-2,1.62
