relvolume,high,low,symbol,percentchange,open,price,watchers,hourchange,sentiment
0.5851,121.65,119.6,EA,0.7472,120.14,121.35,20708,0,8.33
0.5897,131.44,129.41,JPM,-0.1151,129.91,130.16,82517,0,3.31
0.5137,104.53,102.11,GOOGL,0.6073,102.39,104.36,160023,0,3.38
0.736,280.0,273.36,NVDA,0.6768,275.09,279.65,420856,4,1.71
1.0137,91.38,90.41,SONY,0.7501,90.41,91.33,2088,0,0.0
0.8172,6.275,5.94,SOFI,-0.659,6.14,6.03,91843,1,-1.07
0.4861,5.145,4.94,AMC,1.996,4.99,5.11,412639,15,-1.24
1.0724,33.56,32.54,INTC,0.6734,32.94,32.89,131143,0,0.01
0.6614,288.27,283.95,MSFT,-0.3711,286.52,287.23,442841,1,1.19
0.5014,132.61,130.77,IBM,0.7399,130.97,132.06,51353,-1,2.17
0.4395,471.55,462.65,NOC,1.6179,463.3,469.19,8034,0,0.0
0.9487,202.6897,192.2,TSLA,-6.1168,199.91,194.77,890382,3,-0.5
0.6998,166.29,164.27,AAPL,0.7702,164.27,166.17,877097,2,2.37
0.5014,213.4861,208.2001,META,0.5332,208.84,213.07,512477,-1,2.19
0.7684,215.8856,201.6293,ENPH,-3.6523,213.98,202.6,37376,0,1.44
0.4915,10.16,9.085,CVNA,-5.1073,9.64,9.29,23353,0,-0.6
0.5293,103.29,101.43,AMZN,-0.852,102.3,102.41,587699,1,1.82
0.7543,96.79,94.81,AMD,-1.4794,96.695,96.56,456503,2,-0.58
