relvolume,open,high,price,percentchange,symbol,low,watchers,hourchange,sentiment
0.472,453.79,454.66,449.98,0.1603,NOC,447.07,8008,-1,-10.0
1.0443,261.8,263.91,261.99,1.1544,NVDA,253.82,419580,3,1.05
0.8096,188.28,197.99,197.58,7.8199,TSLA,188.04,888999,4,-0.66
0.4458,4.33,4.4458,4.41,3.2787,AMC,4.2115,411833,16,3.2
0.949,101.25,105.0996,104.92,3.6554,GOOGL,101.22,159627,-1,-2.13
0.3545,7.19,8.09,7.93,12.1641,CVNA,7.18,23280,-1,1.75
0.8793,89.08,89.7,89.37,1.0744,SONY,88.71,2081,0,0.0
0.7329,98.14,100.84,100.61,2.968,AMZN,98.0,586872,-1,1.36
1.1245,29.0,29.165,28.46,-2.4005,INTC,27.975,130853,0,-0.52
0.9155,203.2,203.515,202.16,2.1991,META,197.96,511818,-2,1.57
0.8582,274.88,274.95,273.78,0.5694,MSFT,269.53,442020,-1,1.01
0.733,5.35,5.6,5.57,6.705,SOFI,5.3243,91602,3,0.66
1.1827,196.93,209.33,207.63,7.8541,ENPH,195.44,37227,2,2.31
1.1569,130.59,131.73,130.55,2.6821,JPM,130.19,82256,0,-0.31
1.4062,97.0,99.46,95.93,-0.909,AMD,93.64,455986,1,-2.15
0.8214,157.32,159.4,159.28,1.1944,AAPL,156.54,876159,5,2.07
0.7754,113.11,115.15,114.94,1.2509,EA,113.11,20727,0,-8.33
0.5415,126.9,127.15,126.57,0.5002,IBM,125.66,51325,0,5.69
