percentchange,high,open,low,symbol,relvolume,price,watchers,hourchange,sentiment
-1.3634,452.4,450.22,443.085,NOC,0.5627,443.845,8008,0,-27.27
-0.526,281.04,273.4,272.32,MSFT,0.9473,272.34,442095,22,2.44
1.0897,275.89,264.25,262.37,NVDA,1.5517,264.845,419766,18,2.32
-2.5911,211.22,209.65,202.0,ENPH,0.8075,202.25,37243,0,-0.05
-1.1872,207.37,202.5,199.76,META,0.8014,199.76,511868,2,2.94
-3.2443,200.66,199.3,191.13,TSLA,0.7976,191.17,889104,13,-0.29
-0.8036,162.14,159.3,157.89,AAPL,0.893,158.0,876231,7,2.85
-2.6273,130.655,130.56,127.0843,JPM,1.1652,127.12,82271,-1,0.74
-1.9989,127.215,127.0,124.04,IBM,0.5477,124.04,51323,0,8.33
-1.5573,115.1,114.29,113.14,EA,0.8082,113.15,20724,0,25.0
-1.4868,106.59,104.27,103.34,GOOGL,1.0266,103.36,159661,3,-5.2
-1.9133,102.1,100.45,98.67,AMZN,0.7426,98.685,586914,0,0.51
1.7565,101.7,95.65,95.645,AMD,1.7963,97.615,456040,7,-2.18
-2.126,89.0699,88.91,87.445,SONY,0.9838,87.47,2081,0,0.0
-1.2298,29.12,28.48,28.1,INTC,0.735,28.11,130861,1,-2.98
6.3052,10.25,10.15,8.4,CVNA,1.7855,8.43,23490,3,9.07
-0.2693,6.03,5.79,5.54,SOFI,1.6018,5.555,91658,9,2.19
-1.9274,4.73,4.73,4.31,AMC,0.8468,4.325,411916,-4,4.3
