percentchange,symbol,open,high,low,price,relvolume,watchers,hourchange,sentiment
-0.3711,MSFT,286.52,288.27,283.95,287.23,0.6614,442836,6,-0.06
-6.1168,TSLA,199.91,202.6897,192.2,194.77,0.9487,890366,11,-0.86
0.7399,IBM,130.97,132.61,130.77,132.06,0.5014,51354,0,2.17
0.5332,META,208.84,213.4861,208.2001,213.07,0.5014,512473,13,1.8
1.6179,NOC,463.3,471.55,462.65,469.19,0.4395,8034,0,0.0
0.7472,EA,120.14,121.65,119.6,121.35,0.5851,20708,0,8.33
0.7702,AAPL,164.27,166.29,164.27,166.17,0.6998,877087,4,1.71
-3.6523,ENPH,213.98,215.8856,201.6293,202.6,0.7684,37373,0,1.41
-0.852,AMZN,102.3,103.29,101.43,102.41,0.5293,587689,3,0.93
-5.1073,CVNA,9.64,10.16,9.085,9.29,0.4915,23358,0,-0.11
-1.4794,AMD,96.695,96.79,94.81,96.56,0.7543,456499,-4,-0.82
0.6073,GOOGL,102.39,104.53,102.11,104.36,0.5137,160020,3,2.83
-0.1151,JPM,129.91,131.44,129.41,130.16,0.5897,82515,0,2.75
0.6768,NVDA,275.09,280.0,273.36,279.65,0.736,420848,3,1.19
0.7501,SONY,90.41,91.38,90.41,91.33,1.0137,2088,0,0.0
-0.659,SOFI,6.14,6.275,5.94,6.03,0.8172,91843,-1,-1.09
1.996,AMC,4.99,5.145,4.94,5.11,0.4861,412592,56,0.17
0.6734,INTC,32.94,33.56,32.54,32.89,1.0724,131144,0,0.52
