open,low,relvolume,high,symbol,percentchange,price,watchers,hourchange,sentiment
194.415,189.94,0.6504,197.39,TSLA,0.7353,191.81,889478,7,-0.73
118.9,118.14,0.6373,119.4,EA,-0.3276,118.64,20715,0,-5.45
104.615,101.9273,0.6543,104.76,GOOGL,-2.8263,102.46,159780,-2,-0.67
29.37,29.08,0.6526,29.73,INTC,-0.6131,29.18,130884,-1,1.14
268.37,263.6501,0.6791,269.94,NVDA,-0.9261,265.31,420367,-2,-0.95
280.5,275.52,0.6882,281.4589,MSFT,-1.4934,276.38,442439,5,-0.23
5.82,5.73,0.5937,5.88,SOFI,0.3484,5.76,91737,1,0.35
98.02,95.425,0.8904,98.93,AMD,-1.368,96.61,456283,6,-2.21
126.47,126.47,1.0705,130.255,IBM,3.2086,129.31,51335,1,4.09
87.12,86.33,1.0594,87.38,SONY,-1.0168,86.64,2080,0,0.0
204.81,201.37,0.4942,205.86,META,-1.5388,202.84,512185,5,-0.79
99.07,97.08,0.5885,99.335,AMZN,-0.0917,98.04,587199,5,-0.49
126.79,126.29,1.2406,129.38,JPM,2.8661,128.49,82438,2,-1.68
8.35,7.57,0.2612,8.445,CVNA,-6.9597,7.62,23411,-4,-0.74
4.51,4.3,0.5515,4.58,AMC,1.7897,4.55,411959,-2,-0.46
459.09,455.23,0.3979,459.96,NOC,0.659,458.25,8013,0,0.0
159.94,157.87,0.6029,160.77,AAPL,-1.2293,158.28,876594,5,-0.48
199.36,191.61,0.5969,200.21,ENPH,-0.0816,195.83,37292,1,-0.21
