high,low,open,relvolume,symbol,price,percentchange,watchers,hourchange,sentiment
131.73,130.19,130.59,1.1569,JPM,130.55,2.6821,82253,1,-0.12
127.08,125.66,126.9,0.5415,IBM,126.57,0.5002,51324,0,6.41
115.15,113.11,113.11,0.7754,EA,114.94,1.2509,20730,0,-8.33
197.99,188.04,188.28,0.8096,TSLA,197.58,7.8199,888991,9,-1.09
105.0996,101.22,101.25,0.949,GOOGL,104.92,3.6554,159624,0,-2.16
4.445,4.2115,4.33,0.4458,AMC,4.41,3.2787,411775,16,1.63
8.09,7.18,7.19,0.3545,CVNA,7.93,12.1641,23284,0,-0.02
100.84,98.0,98.14,0.7329,AMZN,100.61,2.968,586870,5,1.03
89.7,88.71,89.08,0.8793,SONY,89.37,1.0744,2080,0,0.0
29.165,27.975,29.0,1.1245,INTC,28.46,-2.4005,130851,2,0.57
209.33,195.44,196.93,1.1827,ENPH,207.63,7.8541,37226,0,2.86
5.6,5.3243,5.35,0.733,SOFI,5.57,6.705,91599,0,0.37
203.515,197.96,203.2,0.9155,META,202.16,2.1991,511816,5,1.52
274.95,269.53,274.88,0.8582,MSFT,273.78,0.5694,442015,4,0.47
159.4,156.54,157.32,0.8214,AAPL,159.28,1.1944,876148,10,1.8
454.66,447.07,453.79,0.472,NOC,449.98,0.1603,8009,0,-9.09
99.46,93.64,97.0,1.4062,AMD,95.93,-0.909,455986,-1,-1.94
263.91,253.82,261.8,1.0443,NVDA,261.99,1.1544,419567,6,0.87
