low,percentchange,high,open,symbol,price,relvolume,watchers,hourchange,sentiment
196.09,3.6308,205.76,198.26,META,204.93,1.4445,511578,6,1.88
121.92,1.1518,124.82,122.96,IBM,124.7,1.2179,51321,0,7.43
178.84,2.0393,185.81,180.365,TSLA,184.13,0.6387,888564,3,3.85
263.28,4.0536,276.5,265.205,MSFT,276.2,1.4833,441647,1,5.72
198.28,-2.2648,205.58,204.92,ENPH,201.1,0.7833,36997,4,-0.93
89.02,7.7163,96.69,89.72,AMD,96.6,1.9766,455753,6,5.55
84.21,3.1646,86.47,84.51,SONY,86.39,1.0857,2078,0,-13.33
5.28,0.7394,5.54,5.3501,SOFI,5.45,0.6438,91532,-1,1.01
28.4,6.2302,30.27,28.39,INTC,30.18,1.5477,130776,0,5.56
4.06,4.2755,4.65,4.22,AMC,4.39,0.764,411748,0,0.45
111.39,1.9303,113.79,111.39,EA,113.53,0.7185,20735,0,-8.33
6.63,5.1064,7.585,6.92,CVNA,7.41,0.4207,23316,0,0.61
95.61,3.9917,100.99,95.75,AMZN,100.04,1.0602,586498,8,4.01
95.5,4.3804,101.18,96.2,GOOGL,100.32,1.5267,159481,0,1.93
126.02,1.9414,131.95,128.01,JPM,130.75,1.8493,81984,1,3.96
448.0,0.2785,455.97,449.11,NOC,450.15,0.8285,7993,0,5.68
238.94,5.4193,255.88,240.27,NVDA,255.41,1.1226,419041,9,6.78
151.64,1.8694,156.42,152.16,AAPL,155.85,0.9062,875748,6,4.36
