low,high,price,symbol,relvolume,percentchange,open,watchers,hourchange,sentiment
119.6,121.65,121.35,EA,0.5851,0.7472,120.14,20708,0,8.33
129.41,131.44,130.16,JPM,0.5897,-0.1151,129.91,82515,0,2.48
102.11,104.53,104.36,GOOGL,0.5137,0.6073,102.39,160022,2,2.83
273.36,280.0,279.65,NVDA,0.736,0.6768,275.09,420852,4,1.35
90.41,91.38,91.33,SONY,1.0137,0.7501,90.41,2088,0,0.0
5.94,6.275,6.03,SOFI,0.8172,-0.659,6.14,91844,1,-1.09
4.94,5.145,5.11,AMC,0.4861,1.996,4.99,412607,15,-0.24
32.54,33.56,32.89,INTC,1.0724,0.6734,32.94,131144,0,0.52
283.95,288.27,287.23,MSFT,0.6614,-0.3711,286.52,442840,4,0.29
130.77,132.61,132.06,IBM,0.5014,0.7399,130.97,51353,-1,2.17
462.65,471.55,469.19,NOC,0.4395,1.6179,463.3,8034,0,0.0
192.2,202.6897,194.77,TSLA,0.9487,-6.1168,199.91,890371,5,-0.74
164.27,166.29,166.17,AAPL,0.6998,0.7702,164.27,877088,1,2.15
208.2001,213.4861,213.07,META,0.5014,0.5332,208.84,512476,3,2.09
201.6293,215.8856,202.6,ENPH,0.7684,-3.6523,213.98,37376,3,1.41
9.085,10.16,9.29,CVNA,0.4915,-5.1073,9.64,23357,-1,-0.11
101.43,103.29,102.41,AMZN,0.5293,-0.852,102.3,587693,4,1.18
94.81,96.79,96.56,AMD,0.7543,-1.4794,96.695,456501,2,-0.6
