open,low,price,high,relvolume,percentchange,symbol,watchers,hourchange,sentiment
129.18,128.8,129.34,129.66,0.4651,0.0232,IBM,51347,5,1.62
275.79,272.05,275.23,276.13,0.5713,-0.4161,MSFT,442485,0,-2.16
157.97,155.98,157.65,158.1277,0.5555,-0.398,AAPL,876655,2,-2.81
96.77,92.87,94.56,96.93,0.907,-2.1219,AMD,456316,1,-0.35
128.71,127.75,128.88,129.3417,0.7437,0.3035,JPM,82446,0,-4.76
118.085,117.38,118.02,118.4425,0.5197,-0.5226,EA,20714,0,4.44
458.31,457.59,459.0,461.5,0.3387,0.1637,NOC,8020,2,0.0
264.47,258.5,264.1,265.13,0.6755,-0.4561,NVDA,420428,3,-1.21
200.15,197.9,200.68,201.03,0.535,-1.0649,META,512229,1,-3.87
192.0,185.43,189.19,192.35,0.5363,-1.3659,TSLA,889584,0,-3.17
86.11,85.74,85.82,86.6682,0.8063,-0.9464,SONY,2081,0,0.0
98.11,96.29,97.24,98.44,0.4953,-0.816,AMZN,587289,3,-1.74
5.74,5.51,5.59,5.79,0.5751,-2.9514,SOFI,91751,-2,-0.12
4.51,4.46,5.15,5.5,2.4732,13.1868,AMC,412308,24,1.24
29.075,28.63,29.29,29.33,0.6633,0.377,INTC,130890,-1,-1.2
7.57,7.22,7.36,7.72,0.235,-3.4121,CVNA,23380,2,0.16
102.44,99.7401,101.03,102.4,0.707,-1.3957,GOOGL,159815,0,-4.78
196.0,190.624,193.52,196.515,0.3801,-1.1796,ENPH,37300,0,-2.57
