relvolume,symbol,low,open,percentchange,high,price,watchers,hourchange,sentiment
0.6633,INTC,28.63,29.075,0.377,29.33,29.29,130890,0,-1.37
0.707,GOOGL,99.7401,102.44,-1.3957,102.4,101.03,159813,0,-5.03
0.235,CVNA,7.22,7.57,-3.4121,7.72,7.36,23379,-1,-0.22
0.3801,ENPH,190.624,196.0,-1.1796,196.515,193.52,37300,0,-2.53
0.4651,IBM,128.8,129.18,0.0232,129.66,129.34,51347,0,1.62
0.5555,AAPL,155.98,157.97,-0.398,158.1277,157.65,876657,0,-2.39
0.5713,MSFT,272.05,275.79,-0.4161,276.13,275.23,442491,3,-1.77
0.907,AMD,92.87,96.77,-2.1219,96.93,94.56,456319,0,-0.38
0.535,META,197.9,200.15,-1.0649,201.03,200.68,512233,1,-4.05
0.7437,JPM,127.75,128.71,0.3035,129.3417,128.88,82450,0,-5.06
0.6755,NVDA,258.5,264.47,-0.4561,265.13,264.1,420430,4,-1.17
0.3387,NOC,457.59,458.31,0.1637,461.5,459.0,8020,0,3.57
0.5363,TSLA,185.43,192.0,-1.3659,192.35,189.19,889588,-2,-2.99
0.5197,EA,117.38,118.085,-0.5226,118.4425,118.02,20713,-1,4.44
0.8063,SONY,85.74,86.11,-0.9464,86.6682,85.82,2081,0,0.0
0.5751,SOFI,5.51,5.74,-2.9514,5.79,5.59,91755,4,-0.29
2.4732,AMC,4.46,4.51,13.1868,5.5,5.15,412343,21,0.85
0.4953,AMZN,96.29,98.11,-0.816,98.44,97.24,587292,0,-0.91
