percentchange,low,relvolume,open,price,symbol,high,watchers,hourchange,sentiment
-1.4934,275.52,0.6882,280.5,276.38,MSFT,281.4589,442434,9,-0.32
0.3484,5.73,0.5937,5.82,5.76,SOFI,5.88,91736,1,0.16
-0.9261,263.6501,0.6791,268.37,265.31,NVDA,269.94,420369,7,-0.97
-1.368,95.425,0.8904,98.02,96.61,AMD,98.93,456277,1,-2.21
3.2086,126.47,1.0705,126.47,129.31,IBM,130.255,51334,-2,3.72
-1.5388,201.37,0.4942,204.81,202.84,META,205.86,512180,1,-0.25
-1.0168,86.33,1.0594,87.12,86.64,SONY,87.38,2080,0,0.0
-0.0917,97.08,0.5885,99.07,98.04,AMZN,99.335,587194,-3,-0.67
2.8661,126.29,1.2406,126.79,128.49,JPM,129.38,82436,4,-2.07
-1.2293,157.87,0.6029,159.94,158.28,AAPL,160.77,876589,5,-0.45
-6.9597,7.57,0.2612,8.35,7.62,CVNA,8.445,23415,-4,-0.55
0.659,455.23,0.3979,459.09,458.25,NOC,459.96,8013,0,0.0
1.7897,4.3,0.5515,4.51,4.55,AMC,4.58,411961,-2,-0.24
-0.0816,191.61,0.5969,199.36,195.83,ENPH,200.21,37291,-1,-0.09
0.7353,189.94,0.6504,194.415,191.81,TSLA,197.39,889471,-3,-0.67
-0.3276,118.14,0.6373,118.9,118.64,EA,119.4,20715,-2,-5.45
-2.8263,101.9273,0.6543,104.615,102.46,GOOGL,104.76,159782,-5,-0.54
-0.6131,29.08,0.6526,29.37,29.18,INTC,29.73,130885,-2,0.92
