symbol,low,percentchange,price,open,high,relvolume,watchers,hourchange,sentiment
MSFT,285.08,-0.8112,286.11,285.25,289.03,0.5981,443691,11,-2.82
IBM,125.84,0.0317,126.36,130.15,130.98,1.7117,51487,-1,1.34
AAPL,165.56,-0.5846,166.65,166.09,167.87,0.6838,878279,5,-2.25
ENPH,219.31,0.2319,224.79,220.5,226.26,0.5575,37478,0,1.41
AMZN,103.21,-0.4698,103.81,103.53,105.24,0.7877,588824,4,-1.75
META,212.77,-1.2193,213.07,213.48,216.75,0.4419,512987,0,-1.9
EA,128.15,0.4837,128.8,128.28,129.56,0.4949,20703,0,0.0
INTC,30.71,-0.931,30.86,30.76,31.25,0.5128,131293,0,-1.13
AMD,88.75,0.189,90.11,88.825,91.575,0.7047,456931,-2,-2.11
CVNA,7.91,-7.3001,8.0,8.3,8.51,0.3562,23279,0,-3.81
AMC,4.89,-2.549,4.97,5.0,5.02,0.2431,413190,0,1.05
GOOGL,103.8684,1.0655,105.29,103.91,106.25,0.5805,160582,0,-2.02
NVDA,270.0,-2.9609,271.04,276.71,280.3,0.791,421999,4,1.67
SONY,90.915,0.4507,91.38,90.97,92.275,0.7099,2090,0,0.0
SOFI,5.88,-2.6316,5.92,5.98,6.045,0.5018,91960,0,0.51
TSLA,160.56,-9.7458,162.99,166.165,169.55,1.261,892438,0,-11.56
JPM,140.17,-0.2903,140.81,139.91,141.4299,0.5739,82976,0,-0.63
NOC,472.07,-0.6058,474.18,478.4,478.4,0.4428,8042,-1,11.89
