high,percentchange,price,open,low,relvolume,symbol,watchers,hourchange,sentiment
7.585,5.1064,7.41,6.92,6.63,0.4207,CVNA,23318,0,0.14
100.99,3.9917,100.04,95.75,95.61,1.0602,AMZN,586481,8,4.04
101.18,4.3804,100.32,96.2,95.5,1.5267,GOOGL,159478,1,2.31
131.95,1.9414,130.75,128.01,126.02,1.8493,JPM,81983,5,3.27
455.97,0.2785,450.15,449.11,448.0,0.8285,NOC,7993,0,5.68
156.42,1.8694,155.85,152.16,151.64,0.9062,AAPL,875740,8,3.64
255.88,5.4193,255.41,240.27,238.94,1.1226,NVDA,419029,6,6.43
124.82,1.1518,124.7,122.96,121.92,1.2179,IBM,51321,0,7.86
205.76,3.6308,204.93,198.26,196.09,1.4445,META,511569,5,1.93
276.5,4.0536,276.2,265.205,263.28,1.4833,MSFT,441641,7,5.16
185.81,2.0393,184.13,180.365,178.84,0.6387,TSLA,888559,7,3.48
96.69,7.7163,96.6,89.72,89.02,1.9766,AMD,455739,4,5.68
205.58,-2.2648,201.1,204.92,198.28,0.7833,ENPH,36992,-1,-0.79
30.27,6.2302,30.18,28.39,28.4,1.5477,INTC,130778,0,5.75
86.47,3.1646,86.39,84.51,84.21,1.0857,SONY,2078,-1,-13.33
5.54,0.7394,5.45,5.3501,5.28,0.6438,SOFI,91529,4,0.95
113.79,1.9303,113.53,111.39,111.39,0.7185,EA,20735,0,-8.33
4.65,4.2755,4.39,4.22,4.06,0.764,AMC,411747,-2,0.36
