price,open,relvolume,low,high,symbol,percentchange,watchers,hourchange,sentiment
474.18,478.4,0.4428,472.07,478.4,NOC,-0.6058,8041,-1,5.84
286.11,285.25,0.5981,285.08,289.03,MSFT,-0.8112,443694,3,-2.92
126.36,130.15,1.7117,125.84,130.98,IBM,0.0317,51481,-6,4.32
213.07,213.48,0.4419,212.77,216.75,META,-1.2193,512991,4,-3.16
166.65,166.09,0.6838,165.56,167.87,AAPL,-0.5846,878278,-1,-2.57
128.8,128.28,0.4949,128.15,129.56,EA,0.4837,20703,0,0.0
224.79,220.5,0.5575,219.31,226.26,ENPH,0.2319,37478,0,1.77
103.81,103.53,0.7877,103.21,105.24,AMZN,-0.4698,588828,4,-1.92
30.86,30.76,0.5128,30.71,31.25,INTC,-0.931,131291,-2,-0.61
90.11,88.825,0.7047,88.75,91.575,AMD,0.189,456932,1,-1.38
8.0,8.3,0.3562,7.91,8.51,CVNA,-7.3001,23279,0,-5.63
4.97,5.0,0.2431,4.89,5.02,AMC,-2.549,413189,-1,0.82
105.29,103.91,0.5805,103.8684,106.25,GOOGL,1.0655,160586,4,-1.32
271.04,276.71,0.791,270.0,280.3,NVDA,-2.9609,422006,7,1.35
91.38,90.97,0.7099,90.915,92.275,SONY,0.4507,2090,0,0.0
5.92,5.98,0.5018,5.88,6.045,SOFI,-2.6316,91960,0,0.16
162.99,166.165,1.261,160.56,169.55,TSLA,-9.7458,892479,41,-9.18
140.81,139.91,0.5739,140.17,141.4299,JPM,-0.2903,82976,0,-0.74
