price,relvolume,percentchange,open,symbol,high,low,watchers,hourchange,sentiment
207.41,1.1827,7.7399,196.93,ENPH,209.33,195.44,37224,4,3.07
273.41,0.8582,0.4335,274.88,MSFT,274.95,269.53,442006,8,0.7
5.565,0.733,6.6092,5.35,SOFI,5.6,5.3243,91595,2,0.08
201.9211,0.9155,2.0783,203.2,META,203.515,197.96,511809,1,1.98
95.84,1.4062,-1.002,97.0,AMD,99.46,93.64,455987,3,-1.4
130.45,1.1569,2.6034,130.59,JPM,131.73,130.19,82253,1,0.68
449.76,0.472,0.1113,453.79,NOC,454.66,447.07,8009,0,0.0
159.22,0.8214,1.1563,157.32,AAPL,159.38,156.54,876129,9,1.72
126.53,0.5415,0.4685,126.9,IBM,127.08,125.66,51324,0,6.41
261.795,1.0443,1.0792,261.8,NVDA,263.91,253.82,419549,9,0.94
114.85,0.7754,1.1716,113.11,EA,115.15,113.11,20730,0,-8.33
197.48,0.8096,7.7653,188.28,TSLA,197.99,188.04,888977,14,-0.27
104.82,0.949,3.5566,101.25,GOOGL,105.0996,101.22,159621,4,-1.74
4.4,0.4458,3.0445,4.33,AMC,4.445,4.2115,411745,2,1.38
100.48,0.7329,2.8349,98.14,AMZN,100.84,98.0,586865,4,1.47
7.925,0.3545,12.0934,7.19,CVNA,8.09,7.18,23284,1,0.66
89.36,0.8793,1.0631,89.08,SONY,89.7,88.71,2079,0,0.0
28.425,1.1245,-2.5206,29.0,INTC,29.165,27.975,130845,1,1.19
