relvolume,open,price,high,percentchange,low,symbol,watchers,hourchange,sentiment
0.6614,286.52,287.23,288.27,-0.3711,283.95,MSFT,442829,-1,-0.39
0.5014,130.97,132.06,132.61,0.7399,130.77,IBM,51354,2,2.17
0.4395,463.3,469.19,471.55,1.6179,462.65,NOC,8031,0,0.0
0.5014,208.84,213.07,213.4861,0.5332,208.2001,META,512458,9,1.13
0.9487,199.91,194.77,202.6897,-6.1168,192.2,TSLA,890345,9,-1.25
0.5851,120.14,121.35,121.65,0.7472,119.6,EA,20708,0,0.0
0.7684,213.98,202.6,215.8856,-3.6523,201.6293,ENPH,37372,2,1.98
0.6998,164.27,166.17,166.29,0.7702,164.27,AAPL,877079,8,1.35
0.4915,9.64,9.29,10.16,-5.1073,9.085,CVNA,23359,0,-0.36
0.7543,96.695,96.56,96.79,-1.4794,94.81,AMD,456507,0,-0.99
0.5137,102.39,104.36,104.53,0.6073,102.11,GOOGL,160012,2,1.9
0.5293,102.3,102.41,103.29,-0.852,101.43,AMZN,587682,6,1.05
0.5897,129.91,130.16,131.44,-0.1151,129.41,JPM,82515,0,4.44
0.736,275.09,279.65,280.0,0.6768,273.36,NVDA,420840,8,0.99
1.0137,90.41,91.33,91.38,0.7501,90.41,SONY,2088,0,0.0
0.8172,6.14,6.03,6.275,-0.659,5.94,SOFI,91844,-1,-1.22
0.4861,4.99,5.11,5.145,1.996,4.94,AMC,412500,-4,0.46
1.0724,32.94,32.89,33.56,0.6734,32.54,INTC,131142,1,0.28
