high,symbol,price,relvolume,open,percentchange,low,watchers,hourchange,sentiment
10.25,CVNA,8.43,1.7855,10.15,6.3052,8.4,23434,0,8.79
89.0699,SONY,87.44,0.9838,88.91,-2.1596,87.43,2080,0,0.0
207.37,META,199.81,0.8014,202.5,-1.1624,199.67,511876,4,2.28
211.22,ENPH,202.15,0.8075,209.65,-2.6393,202.0,37246,2,-0.17
200.66,TSLA,191.15,0.7976,199.3,-3.2544,190.95,889119,16,-1.56
452.4,NOC,443.6,0.5627,450.22,-1.4178,443.085,8008,0,-18.18
275.89,NVDA,264.68,1.5517,264.25,1.0268,262.37,419791,13,0.84
127.215,IBM,124.05,0.5477,127.0,-1.991,124.01,51324,0,16.67
281.04,MSFT,272.29,0.9473,273.4,-0.5442,272.22,442098,6,1.1
4.75,AMC,4.34,0.8468,4.73,-1.5873,4.31,411913,1,4.0
162.14,AAPL,157.83,0.893,159.3,-0.9103,157.81,876238,3,0.47
130.655,JPM,127.18,1.1652,130.56,-2.5814,127.08,82275,0,0.18
115.1,EA,113.16,0.8082,114.29,-1.5486,113.14,20724,0,25.0
6.03,SOFI,5.56,1.6018,5.79,-0.1795,5.54,91661,1,2.39
29.12,INTC,28.13,0.735,28.48,-1.1595,28.1,130857,-1,-8.44
101.7,AMD,97.58,1.7963,95.65,1.72,95.645,456057,8,-3.85
106.59,GOOGL,103.37,1.0266,104.27,-1.4773,103.33,159666,5,-6.06
102.1,AMZN,98.7,0.7426,100.45,-1.8984,98.61,586932,11,-1.58
