price,high,percentchange,symbol,low,relvolume,open,watchers,hourchange,sentiment
204.93,205.76,3.6308,META,196.09,1.4445,198.26,511572,3,1.87
124.7,124.82,1.1518,IBM,121.92,1.2179,122.96,51321,0,8.97
184.13,185.81,2.0393,TSLA,178.84,0.6387,180.365,888561,2,3.76
276.2,276.5,4.0536,MSFT,263.28,1.4833,265.205,441646,5,5.72
201.1,205.58,-2.2648,ENPH,198.28,0.7833,204.92,36993,1,-0.79
96.6,96.69,7.7163,AMD,89.02,1.9766,89.72,455747,8,5.51
86.39,86.47,3.1646,SONY,84.21,1.0857,84.51,2078,0,-13.33
5.45,5.54,0.7394,SOFI,5.28,0.6438,5.3501,91533,4,0.98
30.18,30.27,6.2302,INTC,28.4,1.5477,28.39,130776,-2,5.91
4.39,4.65,4.2755,AMC,4.06,0.764,4.22,411748,1,0.41
113.53,113.79,1.9303,EA,111.39,0.7185,111.39,20735,0,-8.33
7.41,7.585,5.1064,CVNA,6.63,0.4207,6.92,23316,-2,0.71
100.04,100.99,3.9917,AMZN,95.61,1.0602,95.75,586490,9,4.08
100.32,101.18,4.3804,GOOGL,95.5,1.5267,96.2,159481,3,1.64
130.75,131.95,1.9414,JPM,126.02,1.8493,128.01,81983,0,3.57
450.15,455.97,0.2785,NOC,448.0,0.8285,449.11,7993,0,5.68
255.41,255.88,5.4193,NVDA,238.94,1.1226,240.27,419032,3,6.78
155.85,156.42,1.8694,AAPL,151.64,0.9062,152.16,875742,2,3.84
