percentchange,open,relvolume,high,low,price,symbol,watchers,hourchange,sentiment
-2.1596,88.91,0.9838,89.0699,87.43,87.44,SONY,2080,-1,0.0
-2.6393,209.65,0.8075,211.22,202.0,202.15,ENPH,37244,1,-0.18
-3.2544,199.3,0.7976,200.66,190.95,191.15,TSLA,889103,-1,-0.55
1.0268,264.25,1.5517,275.89,262.37,264.68,NVDA,419778,12,0.84
-0.5442,273.4,0.9473,281.04,272.22,272.29,MSFT,442092,-3,1.94
-1.991,127.0,0.5477,127.215,124.01,124.05,IBM,51324,1,16.67
-1.1624,202.5,0.8014,207.37,199.67,199.81,META,511872,4,2.65
-1.4178,450.22,0.5627,452.4,443.085,443.6,NOC,8008,0,-18.94
-1.5873,4.73,0.8468,4.75,4.31,4.34,AMC,411912,-4,4.07
-0.9103,159.3,0.893,162.14,157.81,157.83,AAPL,876235,4,1.72
-2.5814,130.56,1.1652,130.655,127.08,127.18,JPM,82275,4,0.56
-1.5486,114.29,0.8082,115.1,113.14,113.16,EA,20724,0,25.0
-0.1795,5.79,1.6018,6.03,5.54,5.56,SOFI,91660,2,2.96
-1.1595,28.48,0.735,29.12,28.1,28.13,INTC,130858,-3,-4.99
1.72,95.65,1.7963,101.7,95.645,97.58,AMD,456049,9,-2.41
-1.4773,104.27,1.0266,106.59,103.33,103.37,GOOGL,159661,0,-5.13
-1.8984,100.45,0.7426,102.1,98.61,98.7,AMZN,586921,7,-0.5
6.3052,10.15,1.7855,10.25,8.4,8.43,CVNA,23434,-56,8.83
