high,open,low,price,relvolume,percentchange,symbol,watchers,hourchange,sentiment
129.56,128.28,128.15,128.8,0.4949,0.4837,EA,20704,0,0.0
478.4,478.4,472.07,474.18,0.4428,-0.6058,NOC,8041,0,8.57
167.87,166.09,165.56,166.65,0.6838,-0.5846,AAPL,878285,0,-2.57
130.98,130.15,125.84,126.36,1.7117,0.0317,IBM,51478,2,4.14
216.75,213.48,212.77,213.07,0.4419,-1.2193,META,513000,0,-2.57
226.26,220.5,219.31,224.79,0.5575,0.2319,ENPH,37478,-1,1.5
105.24,103.53,103.21,103.81,0.7877,-0.4698,AMZN,588848,0,-0.96
31.25,30.76,30.71,30.86,0.5128,-0.931,INTC,131292,1,-0.79
8.51,8.3,7.91,8.0,0.3562,-7.3001,CVNA,23276,-2,-7.98
91.575,88.825,88.75,90.11,0.7047,0.189,AMD,456932,1,0.04
5.02,5.0,4.89,4.97,0.2431,-2.549,AMC,413198,2,-0.21
280.3,276.71,270.0,271.04,0.791,-2.9609,NVDA,422017,3,1.68
92.275,90.97,90.915,91.38,0.7099,0.4507,SONY,2090,0,0.0
106.25,103.91,103.8684,105.29,0.5805,1.0655,GOOGL,160590,2,-0.64
6.045,5.98,5.88,5.92,0.5018,-2.6316,SOFI,91968,2,-0.22
169.55,166.165,160.56,162.99,1.261,-9.7458,TSLA,892560,10,-5.87
141.4299,139.91,140.17,140.81,0.5739,-0.2903,JPM,82979,4,-1.09
289.03,285.25,285.08,286.11,0.5981,-0.8112,MSFT,443704,2,-2.26
