high,symbol,relvolume,percentchange,price,low,open,watchers,hourchange,sentiment
209.33,ENPH,1.1827,7.8541,207.63,195.44,196.93,37226,0,2.86
203.515,META,0.9155,2.1991,202.16,197.96,203.2,511816,5,1.52
5.6,SOFI,0.733,6.705,5.57,5.3243,5.35,91599,0,0.37
274.95,MSFT,0.8582,0.5694,273.78,269.53,274.88,442015,4,0.47
159.4,AAPL,0.8214,1.1944,159.28,156.54,157.32,876148,10,1.8
454.66,NOC,0.472,0.1603,449.98,447.07,453.79,8009,0,-9.09
99.46,AMD,1.4062,-0.909,95.93,93.64,97.0,455986,-1,-1.94
263.91,NVDA,1.0443,1.1544,261.99,253.82,261.8,419567,6,0.87
131.73,JPM,1.1569,2.6821,130.55,130.19,130.59,82253,1,-0.12
127.15,IBM,0.5415,0.5002,126.57,125.66,126.9,51324,0,6.41
197.99,TSLA,0.8096,7.8199,197.58,188.04,188.28,888991,9,-1.09
115.15,EA,0.7754,1.2509,114.94,113.11,113.11,20730,0,-8.33
105.0996,GOOGL,0.949,3.6554,104.92,101.22,101.25,159624,0,-2.16
4.4458,AMC,0.4458,3.2787,4.41,4.2115,4.33,411775,16,1.63
8.09,CVNA,0.3545,12.1641,7.93,7.18,7.19,23284,0,-0.02
100.84,AMZN,0.7329,2.968,100.61,98.0,98.14,586870,5,1.03
89.7,SONY,0.8793,1.0744,89.37,88.71,89.08,2080,0,0.0
29.165,INTC,1.1245,-2.4005,28.46,27.975,29.0,130851,2,0.57
