open,high,price,low,symbol,percentchange,relvolume,watchers,hourchange,sentiment
128.28,129.56,128.8,128.15,EA,0.4837,0.4949,20704,0,0.0
478.4,478.4,474.18,472.07,NOC,-0.6058,0.4428,8041,0,8.57
166.09,167.87,166.65,165.56,AAPL,-0.5846,0.6838,878285,0,-2.57
130.15,130.98,126.36,125.84,IBM,0.0317,1.7117,51478,2,4.14
213.48,216.75,213.07,212.77,META,-1.2193,0.4419,513000,0,-2.57
220.5,226.26,224.79,219.31,ENPH,0.2319,0.5575,37478,-1,1.5
103.53,105.24,103.81,103.21,AMZN,-0.4698,0.7877,588848,0,-0.96
30.76,31.25,30.86,30.71,INTC,-0.931,0.5128,131292,1,-0.79
8.3,8.51,8.0,7.91,CVNA,-7.3001,0.3562,23276,-2,-7.98
88.825,91.575,90.11,88.75,AMD,0.189,0.7047,456932,1,0.04
5.0,5.02,4.97,4.89,AMC,-2.549,0.2431,413198,2,-0.21
276.71,280.3,271.04,270.0,NVDA,-2.9609,0.791,422017,3,1.68
90.97,92.275,91.38,90.915,SONY,0.4507,0.7099,2090,0,0.0
103.91,106.25,105.29,103.8684,GOOGL,1.0655,0.5805,160590,2,-0.64
5.98,6.045,5.92,5.88,SOFI,-2.6316,0.5018,91968,2,-0.22
166.165,169.55,162.99,160.56,TSLA,-9.7458,1.261,892560,10,-5.87
139.91,141.4299,140.81,140.17,JPM,-0.2903,0.5739,82979,4,-1.09
285.25,289.03,286.11,285.08,MSFT,-0.8112,0.5981,443704,2,-2.26
