price,low,relvolume,high,symbol,percentchange,open,watchers,hourchange,sentiment
5.15,4.46,2.4732,5.5,AMC,13.1868,4.51,412308,24,1.24
5.59,5.51,0.5751,5.79,SOFI,-2.9514,5.74,91751,-2,-0.12
29.29,28.63,0.6633,29.33,INTC,0.377,29.075,130890,-1,-1.2
7.36,7.22,0.235,7.72,CVNA,-3.4121,7.57,23380,2,0.16
101.03,99.7401,0.707,102.4,GOOGL,-1.3957,102.44,159815,0,-4.78
193.52,190.624,0.3801,196.515,ENPH,-1.1796,196.0,37300,0,-2.57
129.34,128.8,0.4651,129.66,IBM,0.0232,129.18,51347,5,1.62
275.23,272.05,0.5713,276.13,MSFT,-0.4161,275.79,442485,0,-2.16
157.65,155.98,0.5555,158.1277,AAPL,-0.398,157.97,876655,2,-2.81
94.56,92.87,0.907,96.93,AMD,-2.1219,96.77,456316,1,-0.35
128.88,127.75,0.7437,129.3417,JPM,0.3035,128.71,82446,0,-4.76
459.0,457.59,0.3387,461.5,NOC,0.1637,458.31,8020,2,0.0
118.02,117.38,0.5197,118.4425,EA,-0.5226,118.085,20714,0,4.44
264.1,258.5,0.6755,265.13,NVDA,-0.4561,264.47,420428,3,-1.21
200.68,197.9,0.535,201.03,META,-1.0649,200.15,512229,1,-3.87
85.82,85.74,0.8063,86.6682,SONY,-0.9464,86.11,2081,0,0.0
189.19,185.43,0.5363,192.35,TSLA,-1.3659,192.0,889584,0,-3.17
97.24,96.29,0.4953,98.44,AMZN,-0.816,98.11,587289,3,-1.74
