high,price,low,open,relvolume,percentchange,symbol,watchers,hourchange,sentiment
281.4589,276.38,275.52,280.5,0.6882,-1.4934,MSFT,442443,4,-0.58
269.94,265.31,263.6501,268.37,0.6791,-0.9261,NVDA,420367,0,-1.01
5.88,5.76,5.73,5.82,0.5937,0.3484,SOFI,91739,2,0.42
130.255,129.31,126.47,126.47,1.0705,3.2086,IBM,51335,0,4.09
98.93,96.61,95.425,98.02,0.8904,-1.368,AMD,456283,0,-2.23
87.38,86.64,86.33,87.12,1.0594,-1.0168,SONY,2080,0,0.0
205.86,202.84,201.37,204.81,0.4942,-1.5388,META,512187,2,-0.91
129.38,128.49,126.29,126.79,1.2406,2.8661,JPM,82438,0,-1.43
99.335,98.04,97.08,99.07,0.5885,-0.0917,AMZN,587204,5,-0.37
459.96,458.25,455.23,459.09,0.3979,0.659,NOC,8013,0,0.0
4.58,4.55,4.3,4.51,0.5515,1.7897,AMC,411960,1,-0.63
160.77,158.28,157.87,159.94,0.6029,-1.2293,AAPL,876596,2,-0.86
8.445,7.62,7.57,8.35,0.2612,-6.9597,CVNA,23411,0,-0.62
200.21,195.83,191.61,199.36,0.5969,-0.0816,ENPH,37294,2,-0.21
197.39,191.81,189.94,194.415,0.6504,0.7353,TSLA,889486,8,-0.82
119.4,118.64,118.14,118.9,0.6373,-0.3276,EA,20715,0,-5.45
104.76,102.46,101.9273,104.615,0.6543,-2.8263,GOOGL,159780,0,-1.16
29.73,29.18,29.08,29.37,0.6526,-0.6131,INTC,130884,0,0.97
