low,relvolume,open,high,price,symbol,percentchange,watchers,hourchange,sentiment
117.38,0.5197,118.085,118.4425,118.02,EA,-0.5226,20714,0,4.44
258.5,0.6755,264.47,265.13,264.1,NVDA,-0.4561,420426,-2,-1.18
457.59,0.3387,458.31,461.5,459.0,NOC,0.1637,8020,0,3.57
185.43,0.5363,192.0,192.35,189.19,TSLA,-1.3659,889590,6,-3.09
197.9,0.535,200.15,201.03,200.68,META,-1.0649,512232,3,-4.04
85.74,0.8063,86.11,86.6682,85.82,SONY,-0.9464,2081,0,0.0
96.29,0.4953,98.11,98.44,97.24,AMZN,-0.816,587292,3,-1.45
5.51,0.5751,5.74,5.79,5.59,SOFI,-2.9514,91751,0,-0.17
4.46,2.4732,4.51,5.5,5.15,AMC,13.1868,412322,14,1.17
28.63,0.6633,29.075,29.33,29.29,INTC,0.377,130890,0,-1.36
99.7401,0.707,102.44,102.4,101.03,GOOGL,-1.3957,159813,-2,-5.12
7.22,0.235,7.57,7.72,7.36,CVNA,-3.4121,23380,0,-0.01
190.624,0.3801,196.0,196.515,193.52,ENPH,-1.1796,37300,0,-2.55
128.8,0.4651,129.18,129.66,129.34,IBM,0.0232,51347,0,1.62
155.98,0.5555,157.97,158.1277,157.65,AAPL,-0.398,876657,2,-2.5
272.05,0.5713,275.79,276.13,275.23,MSFT,-0.4161,442488,3,-2.1
92.87,0.907,96.77,96.93,94.56,AMD,-2.1219,456319,3,-0.51
127.75,0.7437,128.71,129.3417,128.88,JPM,0.3035,82450,4,-4.75
