low,relvolume,percentchange,high,open,symbol,price,watchers,hourchange,sentiment
155.98,0.5555,-0.398,158.1277,157.97,AAPL,157.65,876657,2,-2.5
272.05,0.5713,-0.4161,276.13,275.79,MSFT,275.23,442488,3,-2.1
92.87,0.907,-2.1219,96.93,96.77,AMD,94.56,456319,3,-0.51
127.75,0.7437,0.3035,129.3417,128.71,JPM,128.88,82450,4,-4.75
258.5,0.6755,-0.4561,265.13,264.47,NVDA,264.1,420426,-2,-1.18
117.38,0.5197,-0.5226,118.4425,118.085,EA,118.02,20714,0,4.44
457.59,0.3387,0.1637,461.5,458.31,NOC,459.0,8020,0,3.57
197.9,0.535,-1.0649,201.03,200.15,META,200.68,512232,3,-4.04
185.43,0.5363,-1.3659,192.35,192.0,TSLA,189.19,889590,6,-3.09
85.74,0.8063,-0.9464,86.6682,86.11,SONY,85.82,2081,0,0.0
5.51,0.5751,-2.9514,5.79,5.74,SOFI,5.59,91751,0,-0.17
96.29,0.4953,-0.816,98.44,98.11,AMZN,97.24,587292,3,-1.45
4.46,2.4732,13.1868,5.5,4.51,AMC,5.15,412322,14,1.17
28.63,0.6633,0.377,29.33,29.075,INTC,29.29,130890,0,-1.36
99.7401,0.707,-1.3957,102.4,102.44,GOOGL,101.03,159813,-2,-5.12
7.22,0.235,-3.4121,7.72,7.57,CVNA,7.36,23380,0,-0.01
190.624,0.3801,-1.1796,196.515,196.0,ENPH,193.52,37300,0,-2.55
128.8,0.4651,0.0232,129.66,129.18,IBM,129.34,51347,0,1.62
