open,low,price,symbol,high,relvolume,percentchange,watchers,hourchange,sentiment
29.075,28.63,29.29,INTC,29.33,0.6633,0.377,130890,0,-1.37
102.44,99.7401,101.03,GOOGL,102.4,0.707,-1.3957,159813,0,-5.03
7.57,7.22,7.36,CVNA,7.72,0.235,-3.4121,23379,-1,-0.22
196.0,190.624,193.52,ENPH,196.515,0.3801,-1.1796,37300,0,-2.53
129.18,128.8,129.34,IBM,129.66,0.4651,0.0232,51347,0,1.62
157.97,155.98,157.65,AAPL,158.1277,0.5555,-0.398,876657,0,-2.39
275.79,272.05,275.23,MSFT,276.13,0.5713,-0.4161,442491,3,-1.77
96.77,92.87,94.56,AMD,96.93,0.907,-2.1219,456319,0,-0.38
200.15,197.9,200.68,META,201.03,0.535,-1.0649,512233,1,-4.05
128.71,127.75,128.88,JPM,129.3417,0.7437,0.3035,82450,0,-5.06
264.47,258.5,264.1,NVDA,265.13,0.6755,-0.4561,420430,4,-1.17
458.31,457.59,459.0,NOC,461.5,0.3387,0.1637,8020,0,3.57
192.0,185.43,189.19,TSLA,192.35,0.5363,-1.3659,889588,-2,-2.99
118.085,117.38,118.02,EA,118.4425,0.5197,-0.5226,20713,-1,4.44
86.11,85.74,85.82,SONY,86.6682,0.8063,-0.9464,2081,0,0.0
5.74,5.51,5.59,SOFI,5.79,0.5751,-2.9514,91755,4,-0.29
4.51,4.46,5.15,AMC,5.5,2.4732,13.1868,412343,21,0.85
98.11,96.29,97.24,AMZN,98.44,0.4953,-0.816,587292,0,-0.91
