open,low,price,relvolume,high,symbol,percentchange,watchers,hourchange,sentiment
103.91,103.8684,105.29,0.5805,106.25,GOOGL,1.0655,160586,4,-1.32
276.71,270.0,271.04,0.791,280.3,NVDA,-2.9609,422006,7,1.35
90.97,90.915,91.38,0.7099,92.275,SONY,0.4507,2090,0,0.0
5.98,5.88,5.92,0.5018,6.045,SOFI,-2.6316,91960,0,0.16
166.165,160.56,162.99,1.261,169.55,TSLA,-9.7458,892479,41,-9.18
139.91,140.17,140.81,0.5739,141.4299,JPM,-0.2903,82976,0,-0.74
478.4,472.07,474.18,0.4428,478.4,NOC,-0.6058,8041,-1,5.84
285.25,285.08,286.11,0.5981,289.03,MSFT,-0.8112,443694,3,-2.92
130.15,125.84,126.36,1.7117,130.98,IBM,0.0317,51481,-6,4.32
166.09,165.56,166.65,0.6838,167.87,AAPL,-0.5846,878278,-1,-2.57
213.48,212.77,213.07,0.4419,216.75,META,-1.2193,512991,4,-3.16
220.5,219.31,224.79,0.5575,226.26,ENPH,0.2319,37478,0,1.77
128.28,128.15,128.8,0.4949,129.56,EA,0.4837,20703,0,0.0
103.53,103.21,103.81,0.7877,105.24,AMZN,-0.4698,588828,4,-1.92
30.76,30.71,30.86,0.5128,31.25,INTC,-0.931,131291,-2,-0.61
88.825,88.75,90.11,0.7047,91.575,AMD,0.189,456932,1,-1.38
8.3,7.91,8.0,0.3562,8.51,CVNA,-7.3001,23279,0,-5.63
5.0,4.89,4.97,0.2431,5.02,AMC,-2.549,413189,-1,0.82
