open,symbol,high,percentchange,relvolume,low,price,watchers,hourchange,sentiment
264.47,NVDA,265.13,-0.4561,0.6755,258.5,264.1,420426,-2,-1.18
118.085,EA,118.4425,-0.5226,0.5197,117.38,118.02,20714,0,4.44
458.31,NOC,461.5,0.1637,0.3387,457.59,459.0,8020,0,3.57
200.15,META,201.03,-1.0649,0.535,197.9,200.68,512232,3,-4.04
86.11,SONY,86.6682,-0.9464,0.8063,85.74,85.82,2081,0,0.0
192.0,TSLA,192.35,-1.3659,0.5363,185.43,189.19,889590,6,-3.09
5.74,SOFI,5.79,-2.9514,0.5751,5.51,5.59,91751,0,-0.17
98.11,AMZN,98.44,-0.816,0.4953,96.29,97.24,587292,3,-1.45
4.51,AMC,5.5,13.1868,2.4732,4.46,5.15,412322,14,1.17
29.075,INTC,29.33,0.377,0.6633,28.63,29.29,130890,0,-1.36
102.44,GOOGL,102.4,-1.3957,0.707,99.7401,101.03,159813,-2,-5.12
7.57,CVNA,7.72,-3.4121,0.235,7.22,7.36,23380,0,-0.01
196.0,ENPH,196.515,-1.1796,0.3801,190.624,193.52,37300,0,-2.55
129.18,IBM,129.66,0.0232,0.4651,128.8,129.34,51347,0,1.62
157.97,AAPL,158.1277,-0.398,0.5555,155.98,157.65,876657,2,-2.5
275.79,MSFT,276.13,-0.4161,0.5713,272.05,275.23,442488,3,-2.1
96.77,AMD,96.93,-2.1219,0.907,92.87,94.56,456319,3,-0.51
128.71,JPM,129.3417,0.3035,0.7437,127.75,128.88,82450,4,-4.75
