low,high,percentchange,symbol,open,price,relvolume,watchers,hourchange,sentiment
275.52,281.4589,-1.4934,MSFT,280.5,276.38,0.6882,442449,3,-1.03
118.14,119.4,-0.3276,EA,118.9,118.64,0.6373,20715,0,-5.45
263.6501,269.94,-0.9261,NVDA,268.37,265.31,0.6791,420377,0,-0.87
5.73,5.88,0.3484,SOFI,5.82,5.76,0.5937,91743,4,0.59
86.33,87.38,-1.0168,SONY,87.12,86.64,1.0594,2080,0,0.0
126.47,130.255,3.2086,IBM,126.47,129.31,1.0705,51338,3,4.44
126.29,129.38,2.8661,JPM,126.79,128.49,1.2406,82440,2,-0.14
95.425,98.93,-1.368,AMD,98.02,96.61,0.8904,456285,0,-2.09
201.37,205.86,-1.5388,META,204.81,202.84,0.4942,512189,1,-1.43
455.23,459.96,0.659,NOC,459.09,458.25,0.3979,8012,0,0.0
157.87,160.77,-1.2293,AAPL,159.94,158.28,0.6029,876604,5,-0.91
97.08,99.335,-0.0917,AMZN,99.07,98.04,0.5885,587208,2,-0.82
7.57,8.445,-6.9597,CVNA,8.35,7.62,0.2612,23411,-1,-0.56
4.3,4.58,1.7897,AMC,4.51,4.55,0.5515,411960,0,-0.68
191.61,200.21,-0.0816,ENPH,199.36,195.83,0.5969,37297,2,-0.35
101.9273,104.76,-2.8263,GOOGL,104.615,102.46,0.6543,159786,1,-1.37
189.94,197.39,0.7353,TSLA,194.415,191.81,0.6504,889491,5,-0.67
29.08,29.73,-0.6131,INTC,29.37,29.18,0.6526,130885,0,1.63
