symbol,high,price,open,percentchange,low,relvolume,watchers,hourchange,sentiment
AMZN,102.1,98.7,100.45,-1.8984,98.61,0.7426,586932,11,-1.58
CVNA,10.25,8.43,10.15,6.3052,8.4,1.7855,23434,0,8.79
SONY,89.0699,87.44,88.91,-2.1596,87.44,0.9838,2080,0,0.0
ENPH,211.22,202.15,209.65,-2.6393,202.0,0.8075,37246,2,-0.17
META,207.37,199.81,202.5,-1.1624,199.67,0.8014,511876,4,2.28
TSLA,200.66,191.15,199.3,-3.2544,190.95,0.7976,889119,16,-1.56
NVDA,275.89,264.68,264.25,1.0268,262.37,1.5517,419791,13,0.84
MSFT,281.04,272.29,273.4,-0.5442,272.22,0.9473,442098,6,1.1
NOC,452.4,443.6,450.22,-1.4178,443.085,0.5627,8008,0,-18.18
IBM,127.215,124.05,127.0,-1.991,124.01,0.5477,51324,0,16.67
AMC,4.73,4.34,4.73,-1.5873,4.31,0.8468,411913,1,4.0
JPM,130.655,127.18,130.56,-2.5814,127.0843,1.1652,82275,0,0.18
AAPL,162.14,157.83,159.3,-0.9103,157.81,0.893,876238,3,0.47
EA,115.1,113.16,114.29,-1.5486,113.14,0.8082,20724,0,25.0
SOFI,6.03,5.56,5.79,-0.1795,5.54,1.6018,91661,1,2.39
INTC,29.12,28.13,28.48,-1.1595,28.1,0.735,130857,-1,-8.44
AMD,101.7,97.58,95.65,1.72,95.645,1.7963,456057,8,-3.85
GOOGL,106.59,103.37,104.27,-1.4773,103.33,1.0266,159666,5,-6.06
