high,percentchange,price,low,relvolume,symbol,open,watchers,hourchange,sentiment
5.6,6.705,5.57,5.3243,0.733,SOFI,5.35,91600,0,0.47
274.95,0.5694,273.78,269.53,0.8582,MSFT,274.88,442021,4,0.61
209.33,7.8541,207.63,195.44,1.1827,ENPH,196.93,37227,0,2.54
159.4,1.1944,159.28,156.54,0.8214,AAPL,157.32,876154,1,1.89
99.46,-0.909,95.93,93.64,1.4062,AMD,97.0,455985,0,-2.1
131.73,2.6821,130.55,130.19,1.1569,JPM,130.59,82255,0,-0.33
115.15,1.2509,114.94,113.11,0.7754,EA,113.11,20730,0,-8.33
263.91,1.1544,261.99,253.82,1.0443,NVDA,261.8,419575,5,0.94
127.15,0.5002,126.57,125.66,0.5415,IBM,126.9,51324,0,6.41
454.66,0.1603,449.98,447.07,0.472,NOC,453.79,8009,0,-9.09
197.99,7.8199,197.58,188.04,0.8096,TSLA,188.28,888995,1,-0.81
4.4458,3.2787,4.41,4.2115,0.4458,AMC,4.33,411807,13,2.6
105.0996,3.6554,104.92,101.22,0.949,GOOGL,101.25,159625,0,-2.0
8.09,12.1641,7.93,7.18,0.3545,CVNA,7.19,23281,-1,1.19
89.7,1.0744,89.37,88.71,0.8793,SONY,89.08,2080,0,0.0
100.84,2.968,100.61,98.0,0.7329,AMZN,98.14,586873,2,1.26
29.165,-2.4005,28.46,27.975,1.1245,INTC,29.0,130853,2,0.57
203.515,2.1991,202.16,197.96,0.9155,META,203.2,511818,0,1.52
