low,open,relvolume,high,symbol,price,percentchange,watchers,hourchange,sentiment
275.52,280.5,0.6882,281.4589,MSFT,276.38,-1.4934,442446,1,-1.08
118.14,118.9,0.6373,119.4,EA,118.64,-0.3276,20715,0,-5.45
263.6501,268.37,0.6791,269.94,NVDA,265.31,-0.9261,420377,1,-0.89
5.73,5.82,0.5937,5.88,SOFI,5.76,0.3484,91739,0,0.61
86.33,87.12,1.0594,87.38,SONY,86.64,-1.0168,2080,0,0.0
126.47,126.47,1.0705,130.255,IBM,129.31,3.2086,51335,1,4.09
126.29,126.79,1.2406,129.38,JPM,128.49,2.8661,82438,-1,-0.06
95.425,98.02,0.8904,98.93,AMD,96.61,-1.368,456285,2,-2.09
201.37,204.81,0.4942,205.86,META,202.84,-1.5388,512188,1,-1.27
455.23,459.09,0.3979,459.96,NOC,458.25,0.659,8012,0,0.0
157.87,159.94,0.6029,160.77,AAPL,158.28,-1.2293,876599,0,-0.98
97.08,99.07,0.5885,99.335,AMZN,98.04,-0.0917,587206,0,-0.84
7.57,8.35,0.2612,8.445,CVNA,7.62,-6.9597,23412,0,-0.39
4.3,4.51,0.5515,4.58,AMC,4.55,1.7897,411960,0,-0.71
191.61,199.36,0.5969,200.21,ENPH,195.83,-0.0816,37295,1,-0.15
101.9273,104.615,0.6543,104.76,GOOGL,102.46,-2.8263,159785,0,-1.33
189.94,194.415,0.6504,197.39,TSLA,191.81,0.7353,889486,0,-0.66
29.08,29.37,0.6526,29.73,INTC,29.18,-0.6131,130885,1,0.97
