relvolume,percentchange,high,low,symbol,open,price,watchers,hourchange,sentiment
0.6633,0.377,29.33,28.63,INTC,29.075,29.29,130892,2,-2.02
0.707,-1.3957,102.4,99.7401,GOOGL,102.44,101.03,159816,3,-4.52
0.235,-3.4121,7.72,7.22,CVNA,7.57,7.36,23379,0,-0.15
0.3801,-1.1796,196.515,190.624,ENPH,196.0,193.52,37300,0,-2.54
0.4651,0.0232,129.66,128.8,IBM,129.18,129.34,51347,0,1.27
0.5555,-0.398,158.1277,155.98,AAPL,157.97,157.65,876656,-1,-2.44
0.5713,-0.4161,276.13,272.05,MSFT,275.79,275.23,442493,2,-1.84
0.907,-2.1219,96.93,92.87,AMD,96.77,94.56,456320,1,-0.45
0.535,-1.0649,201.03,197.9,META,200.15,200.68,512233,0,-4.0
0.7437,0.3035,129.3417,127.75,JPM,128.71,128.88,82452,2,-5.42
0.6755,-0.4561,265.13,258.5,NVDA,264.47,264.1,420435,5,-1.23
0.3387,0.1637,461.5,457.59,NOC,458.31,459.0,8020,0,3.57
0.5363,-1.3659,192.35,185.43,TSLA,192.0,189.19,889592,4,-3.14
0.5197,-0.5226,118.4425,117.38,EA,118.085,118.02,20713,0,4.44
0.8063,-0.9464,86.6682,85.74,SONY,86.11,85.82,2081,0,0.0
0.5751,-2.9514,5.79,5.51,SOFI,5.74,5.59,91757,2,-0.37
2.4732,13.1868,5.5,4.46,AMC,4.51,5.15,412366,23,0.8
0.4953,-0.816,98.44,96.29,AMZN,98.11,97.24,587298,6,-0.62
