symbol,percentchange,open,relvolume,low,price,high,watchers,hourchange,sentiment
EA,0.7472,120.14,0.5851,119.6,121.35,121.65,20708,0,8.33
JPM,-0.1151,129.91,0.5897,129.41,130.16,131.44,82517,0,3.31
GOOGL,0.6073,102.39,0.5137,102.11,104.36,104.53,160023,0,3.38
NVDA,0.6768,275.09,0.736,273.36,279.65,280.0,420856,4,1.71
SONY,0.7501,90.41,1.0137,90.41,91.33,91.38,2088,0,0.0
SOFI,-0.659,6.14,0.8172,5.94,6.03,6.275,91843,1,-1.07
AMC,1.996,4.99,0.4861,4.94,5.11,5.145,412639,15,-1.24
INTC,0.6734,32.94,1.0724,32.54,32.89,33.56,131143,0,0.01
MSFT,-0.3711,286.52,0.6614,283.95,287.23,288.27,442841,1,1.19
IBM,0.7399,130.97,0.5014,130.77,132.06,132.61,51353,-1,2.17
NOC,1.6179,463.3,0.4395,462.65,469.19,471.55,8034,0,0.0
TSLA,-6.1168,199.91,0.9487,192.2,194.77,202.6897,890382,3,-0.5
AAPL,0.7702,164.27,0.6998,164.27,166.17,166.29,877097,2,2.37
META,0.5332,208.84,0.5014,208.2001,213.07,213.4861,512477,-1,2.19
ENPH,-3.6523,213.98,0.7684,201.6293,202.6,215.8856,37376,0,1.44
CVNA,-5.1073,9.64,0.4915,9.085,9.29,10.16,23353,0,-0.6
AMZN,-0.852,102.3,0.5293,101.43,102.41,103.29,587699,1,1.82
AMD,-1.4794,96.695,0.7543,94.81,96.56,96.79,456503,2,-0.58
