symbol,percentchange,low,open,price,relvolume,high,watchers,hourchange,sentiment
AMC,3.0445,4.2115,4.33,4.4,0.4458,4.445,411745,2,1.38
AMZN,2.8349,98.0,98.14,100.48,0.7329,100.84,586865,4,1.47
CVNA,12.0934,7.18,7.19,7.925,0.3545,8.09,23284,1,0.66
SONY,1.0631,88.71,89.08,89.36,0.8793,89.7,2079,0,0.0
INTC,-2.5206,27.975,29.0,28.425,1.1245,29.165,130845,1,1.19
ENPH,7.7399,195.44,196.93,207.41,1.1827,209.33,37224,4,3.07
MSFT,0.4335,269.53,274.88,273.41,0.8582,274.95,442006,8,0.7
SOFI,6.6092,5.3243,5.35,5.565,0.733,5.6,91595,2,0.08
META,2.0783,197.96,203.2,201.9211,0.9155,203.515,511809,1,1.98
AMD,-1.002,93.64,97.0,95.84,1.4062,99.46,455987,3,-1.4
AAPL,1.1563,156.54,157.32,159.22,0.8214,159.38,876129,9,1.72
JPM,2.6034,130.19,130.59,130.45,1.1569,131.73,82253,1,0.68
NOC,0.1113,447.07,453.79,449.76,0.472,454.66,8009,0,0.0
IBM,0.4685,125.66,126.9,126.53,0.5415,127.08,51324,0,6.41
NVDA,1.0792,253.82,261.8,261.795,1.0443,263.91,419549,9,0.94
EA,1.1716,113.11,113.11,114.85,0.7754,115.15,20730,0,-8.33
TSLA,7.7653,188.04,188.28,197.48,0.8096,197.99,888977,14,-0.27
GOOGL,3.5566,101.22,101.25,104.82,0.949,105.0996,159621,4,-1.74
