price,high,open,percentchange,symbol,low,relvolume,watchers,hourchange,sentiment
29.29,29.33,29.075,0.377,INTC,28.63,0.6633,130890,0,-1.37
101.03,102.4,102.44,-1.3957,GOOGL,99.7401,0.707,159813,0,-5.03
7.36,7.72,7.57,-3.4121,CVNA,7.22,0.235,23379,-1,-0.22
193.52,196.515,196.0,-1.1796,ENPH,190.624,0.3801,37300,0,-2.53
129.34,129.66,129.18,0.0232,IBM,128.8,0.4651,51347,0,1.62
157.65,158.1277,157.97,-0.398,AAPL,155.98,0.5555,876657,0,-2.39
275.23,276.13,275.79,-0.4161,MSFT,272.05,0.5713,442491,3,-1.77
94.56,96.93,96.77,-2.1219,AMD,92.87,0.907,456319,0,-0.38
200.68,201.03,200.15,-1.0649,META,197.9,0.535,512233,1,-4.05
128.88,129.3417,128.71,0.3035,JPM,127.75,0.7437,82450,0,-5.06
264.1,265.13,264.47,-0.4561,NVDA,258.5,0.6755,420430,4,-1.17
459.0,461.5,458.31,0.1637,NOC,457.59,0.3387,8020,0,3.57
189.19,192.35,192.0,-1.3659,TSLA,185.43,0.5363,889588,-2,-2.99
118.02,118.4425,118.085,-0.5226,EA,117.38,0.5197,20713,-1,4.44
85.82,86.6682,86.11,-0.9464,SONY,85.74,0.8063,2081,0,0.0
5.59,5.79,5.74,-2.9514,SOFI,5.51,0.5751,91755,4,-0.29
5.15,5.5,4.51,13.1868,AMC,4.46,2.4732,412343,21,0.85
97.24,98.44,98.11,-0.816,AMZN,96.29,0.4953,587292,0,-0.91
