symbol,price,percentchange,high,open,relvolume,low,watchers,hourchange,sentiment
AMZN,100.04,3.9917,100.99,95.75,1.0602,95.61,586481,8,4.04
GOOGL,100.32,4.3804,101.18,96.2,1.5267,95.5,159478,1,2.31
JPM,130.75,1.9414,131.95,128.01,1.8493,126.02,81983,5,3.27
NVDA,255.41,5.4193,255.88,240.27,1.1226,238.94,419029,6,6.43
NOC,450.15,0.2785,455.97,449.11,0.8285,448.0,7993,0,5.68
AAPL,155.85,1.8694,156.42,152.16,0.9062,151.64,875740,8,3.64
META,204.93,3.6308,205.76,198.26,1.4445,196.09,511569,5,1.93
IBM,124.7,1.1518,124.82,122.96,1.2179,121.92,51321,0,7.86
MSFT,276.2,4.0536,276.5,265.205,1.4833,263.28,441641,7,5.16
TSLA,184.13,2.0393,185.81,180.365,0.6387,178.84,888559,7,3.48
AMD,96.6,7.7163,96.69,89.72,1.9766,89.02,455739,4,5.68
SONY,86.39,3.1646,86.47,84.51,1.0857,84.21,2078,-1,-13.33
INTC,30.18,6.2302,30.27,28.39,1.5477,28.4,130778,0,5.75
ENPH,201.1,-2.2648,205.58,204.92,0.7833,198.28,36992,-1,-0.79
SOFI,5.45,0.7394,5.54,5.3501,0.6438,5.28,91529,4,0.95
AMC,4.39,4.2755,4.65,4.22,0.764,4.06,411747,-2,0.36
EA,113.53,1.9303,113.79,111.39,0.7185,111.39,20735,0,-8.33
CVNA,7.41,5.1064,7.585,6.92,0.4207,6.63,23318,0,0.14
