price,low,symbol,open,percentchange,relvolume,high,watchers,hourchange,sentiment
166.65,165.56,AAPL,166.09,-0.5846,0.6838,167.87,878274,10,0.38
126.36,125.84,IBM,130.15,0.0317,1.7117,130.98,51488,-3,-3.23
103.81,103.21,AMZN,103.53,-0.4698,0.7877,105.24,588820,3,-0.92
128.8,128.15,EA,128.28,0.4837,0.4949,129.56,20703,0,0.0
213.07,212.77,META,213.48,-1.2193,0.4419,216.75,512987,6,-1.9
224.79,219.31,ENPH,220.5,0.2319,0.5575,226.26,37478,3,1.41
90.11,88.75,AMD,88.825,0.189,0.7047,91.575,456933,3,-2.11
30.86,30.71,INTC,30.76,-0.931,0.5128,31.25,131293,-4,0.22
8.0,7.91,CVNA,8.3,-7.3001,0.3562,8.51,23279,-4,-3.81
4.97,4.89,AMC,5.0,-2.549,0.2431,5.02,413190,5,1.05
91.38,90.915,SONY,90.97,0.4507,0.7099,92.275,2090,-1,0.0
105.29,103.8684,GOOGL,103.91,1.0655,0.5805,106.25,160582,1,-2.02
271.04,270.0,NVDA,276.71,-2.9609,0.791,280.3,421995,2,2.93
162.99,160.56,TSLA,166.165,-9.7458,1.261,169.55,892438,32,-11.56
5.92,5.88,SOFI,5.98,-2.6316,0.5018,6.045,91960,0,0.51
140.81,139.84,JPM,139.91,-0.2903,0.5739,141.43,82976,0,0.11
286.11,285.08,MSFT,285.25,-0.8112,0.5981,289.03,443680,3,-1.02
474.18,472.07,NOC,478.4,-0.6058,0.4428,478.4,8043,0,11.89
