symbol,open,price,low,high,relvolume,percentchange,watchers,hourchange,sentiment
NOC,453.79,449.98,447.07,454.66,0.472,0.1603,8009,0,-9.09
NVDA,261.8,261.99,253.82,263.91,1.0443,1.1544,419575,5,0.94
TSLA,188.28,197.58,188.04,197.99,0.8096,7.8199,888995,1,-0.81
AMC,4.33,4.41,4.2115,4.4458,0.4458,3.2787,411807,13,2.6
GOOGL,101.25,104.92,101.22,105.0996,0.949,3.6554,159625,0,-2.0
CVNA,7.19,7.93,7.18,8.09,0.3545,12.1641,23281,-1,1.19
SONY,89.08,89.37,88.71,89.7,0.8793,1.0744,2080,0,0.0
AMZN,98.14,100.61,98.0,100.84,0.7329,2.968,586873,2,1.26
INTC,29.0,28.46,27.975,29.165,1.1245,-2.4005,130853,2,0.57
META,203.2,202.16,197.96,203.515,0.9155,2.1991,511818,0,1.52
MSFT,274.88,273.78,269.53,274.95,0.8582,0.5694,442021,4,0.61
SOFI,5.35,5.57,5.3243,5.6,0.733,6.705,91600,0,0.47
ENPH,196.93,207.63,195.44,209.33,1.1827,7.8541,37227,0,2.54
JPM,130.59,130.55,130.19,131.73,1.1569,2.6821,82255,0,-0.33
AMD,97.0,95.93,93.64,99.46,1.4062,-0.909,455985,0,-2.1
AAPL,157.32,159.28,156.54,159.4,0.8214,1.1944,876154,1,1.89
EA,113.11,114.94,113.11,115.15,0.7754,1.2509,20730,0,-8.33
IBM,126.9,126.57,125.66,127.15,0.5415,0.5002,51324,0,6.41
