price,high,open,relvolume,low,percentchange,symbol,watchers,hourchange,sentiment
276.38,281.4589,280.5,0.6882,275.52,-1.4934,MSFT,442446,1,-1.08
118.64,119.4,118.9,0.6373,118.14,-0.3276,EA,20715,0,-5.45
265.31,269.94,268.37,0.6791,263.6501,-0.9261,NVDA,420377,1,-0.89
5.76,5.88,5.82,0.5937,5.73,0.3484,SOFI,91739,0,0.61
86.64,87.38,87.12,1.0594,86.33,-1.0168,SONY,2080,0,0.0
129.31,130.255,126.47,1.0705,126.47,3.2086,IBM,51335,1,4.09
128.49,129.38,126.79,1.2406,126.29,2.8661,JPM,82438,-1,-0.06
96.61,98.93,98.02,0.8904,95.425,-1.368,AMD,456285,2,-2.09
202.84,205.86,204.81,0.4942,201.37,-1.5388,META,512188,1,-1.27
458.25,459.96,459.09,0.3979,455.23,0.659,NOC,8012,0,0.0
158.28,160.77,159.94,0.6029,157.87,-1.2293,AAPL,876599,0,-0.98
98.04,99.335,99.07,0.5885,97.08,-0.0917,AMZN,587206,0,-0.84
7.62,8.445,8.35,0.2612,7.57,-6.9597,CVNA,23412,0,-0.39
4.55,4.58,4.51,0.5515,4.3,1.7897,AMC,411960,0,-0.71
195.83,200.21,199.36,0.5969,191.61,-0.0816,ENPH,37295,1,-0.15
102.46,104.76,104.615,0.6543,101.9273,-2.8263,GOOGL,159785,0,-1.33
191.81,197.39,194.415,0.6504,189.94,0.7353,TSLA,889486,0,-0.66
29.18,29.73,29.37,0.6526,29.08,-0.6131,INTC,130885,1,0.97
