low,high,price,relvolume,open,percentchange,symbol,watchers,hourchange,sentiment
275.52,281.4589,276.38,0.6882,280.5,-1.4934,MSFT,442446,1,-1.08
118.14,119.4,118.64,0.6373,118.9,-0.3276,EA,20715,0,-5.45
263.6501,269.94,265.31,0.6791,268.37,-0.9261,NVDA,420377,1,-0.89
5.73,5.88,5.76,0.5937,5.82,0.3484,SOFI,91739,0,0.61
86.33,87.38,86.64,1.0594,87.12,-1.0168,SONY,2080,0,0.0
126.47,130.255,129.31,1.0705,126.47,3.2086,IBM,51335,1,4.09
126.29,129.38,128.49,1.2406,126.79,2.8661,JPM,82438,-1,-0.06
95.425,98.93,96.61,0.8904,98.02,-1.368,AMD,456285,2,-2.09
201.37,205.86,202.84,0.4942,204.81,-1.5388,META,512188,1,-1.27
455.23,459.96,458.25,0.3979,459.09,0.659,NOC,8012,0,0.0
157.87,160.77,158.28,0.6029,159.94,-1.2293,AAPL,876599,0,-0.98
97.08,99.335,98.04,0.5885,99.07,-0.0917,AMZN,587206,0,-0.84
7.57,8.445,7.62,0.2612,8.35,-6.9597,CVNA,23412,0,-0.39
4.3,4.58,4.55,0.5515,4.51,1.7897,AMC,411960,0,-0.71
191.61,200.21,195.83,0.5969,199.36,-0.0816,ENPH,37295,1,-0.15
101.9273,104.76,102.46,0.6543,104.615,-2.8263,GOOGL,159785,0,-1.33
189.94,197.39,191.81,0.6504,194.415,0.7353,TSLA,889486,0,-0.66
29.08,29.73,29.18,0.6526,29.37,-0.6131,INTC,130885,1,0.97
