percentchange,symbol,price,relvolume,open,low,high,watchers,hourchange,sentiment
0.377,INTC,29.29,0.6633,29.075,28.63,29.33,130892,2,-2.02
-1.3957,GOOGL,101.03,0.707,102.44,99.7401,102.4,159816,3,-4.52
-3.4121,CVNA,7.36,0.235,7.57,7.22,7.72,23379,0,-0.15
-1.1796,ENPH,193.52,0.3801,196.0,190.624,196.515,37300,0,-2.54
0.0232,IBM,129.34,0.4651,129.18,128.8,129.66,51347,0,1.27
-0.398,AAPL,157.65,0.5555,157.97,155.98,158.1277,876656,-1,-2.44
-0.4161,MSFT,275.23,0.5713,275.79,272.05,276.13,442493,2,-1.84
-2.1219,AMD,94.56,0.907,96.77,92.87,96.93,456320,1,-0.45
-1.0649,META,200.68,0.535,200.15,197.9,201.03,512233,0,-4.0
0.3035,JPM,128.88,0.7437,128.71,127.75,129.3417,82452,2,-5.42
-0.4561,NVDA,264.1,0.6755,264.47,258.5,265.13,420435,5,-1.23
0.1637,NOC,459.0,0.3387,458.31,457.59,461.5,8020,0,3.57
-1.3659,TSLA,189.19,0.5363,192.0,185.43,192.35,889592,4,-3.14
-0.5226,EA,118.02,0.5197,118.085,117.38,118.4425,20713,0,4.44
-0.9464,SONY,85.82,0.8063,86.11,85.74,86.6682,2081,0,0.0
-2.9514,SOFI,5.59,0.5751,5.74,5.51,5.79,91757,2,-0.37
13.1868,AMC,5.15,2.4732,4.51,4.46,5.5,412366,23,0.8
-0.816,AMZN,97.24,0.4953,98.11,96.29,98.44,587298,6,-0.62
