symbol,high,price,percentchange,open,low,relvolume,watchers,hourchange,sentiment
EA,121.65,121.35,0.7472,120.14,119.6,0.5851,20708,0,8.33
JPM,131.44,130.16,-0.1151,129.91,129.41,0.5897,82517,2,2.86
GOOGL,104.53,104.36,0.6073,102.39,102.11,0.5137,160023,1,2.75
NVDA,280.0,279.65,0.6768,275.09,273.36,0.736,420852,0,1.61
SONY,91.38,91.33,0.7501,90.41,90.41,1.0137,2088,0,0.0
SOFI,6.275,6.03,-0.659,6.14,5.94,0.8172,91842,-2,-1.13
AMC,5.145,5.11,1.996,4.99,4.94,0.4861,412624,17,-0.91
INTC,33.56,32.89,0.6734,32.94,32.54,1.0724,131143,-1,0.34
MSFT,288.27,287.23,-0.3711,286.52,283.95,0.6614,442840,0,0.95
IBM,132.61,132.06,0.7399,130.97,130.77,0.5014,51354,1,2.17
NOC,471.55,469.19,1.6179,463.3,462.65,0.4395,8034,0,0.0
TSLA,202.6897,194.77,-6.1168,199.91,192.2,0.9487,890379,8,-0.49
AAPL,166.29,166.17,0.7702,164.27,164.27,0.6998,877095,7,2.26
META,213.4861,213.07,0.5332,208.84,208.2001,0.5014,512478,2,2.24
ENPH,215.8856,202.6,-3.6523,213.98,201.6293,0.7684,37376,0,1.19
CVNA,10.16,9.29,-5.1073,9.64,9.085,0.4915,23353,-4,-0.85
AMZN,103.29,102.41,-0.852,102.3,101.43,0.5293,587698,5,1.52
AMD,96.79,96.56,-1.4794,96.695,94.81,0.7543,456501,0,-0.2
