symbol,relvolume,high,open,low,percentchange,price,watchers,hourchange,sentiment
EA,0.5851,121.65,120.14,119.6,0.7472,121.35,20708,0,8.33
JPM,0.5897,131.44,129.91,129.41,-0.1151,130.16,82517,0,3.31
GOOGL,0.5137,104.53,102.39,102.11,0.6073,104.36,160023,0,3.38
NVDA,0.736,280.0,275.09,273.36,0.6768,279.65,420856,4,1.71
SONY,1.0137,91.38,90.41,90.41,0.7501,91.33,2088,0,0.0
SOFI,0.8172,6.275,6.14,5.94,-0.659,6.03,91843,1,-1.07
AMC,0.4861,5.145,4.99,4.94,1.996,5.11,412639,15,-1.24
INTC,1.0724,33.56,32.94,32.54,0.6734,32.89,131143,0,0.01
MSFT,0.6614,288.27,286.52,283.95,-0.3711,287.23,442841,1,1.19
IBM,0.5014,132.61,130.97,130.77,0.7399,132.06,51353,-1,2.17
NOC,0.4395,471.55,463.3,462.65,1.6179,469.19,8034,0,0.0
TSLA,0.9487,202.6897,199.91,192.2,-6.1168,194.77,890382,3,-0.5
AAPL,0.6998,166.29,164.27,164.27,0.7702,166.17,877097,2,2.37
META,0.5014,213.4861,208.84,208.2001,0.5332,213.07,512477,-1,2.19
ENPH,0.7684,215.8856,213.98,201.6293,-3.6523,202.6,37376,0,1.44
CVNA,0.4915,10.16,9.64,9.085,-5.1073,9.29,23353,0,-0.6
AMZN,0.5293,103.29,102.3,101.43,-0.852,102.41,587699,1,1.82
AMD,0.7543,96.79,96.695,94.81,-1.4794,96.56,456503,2,-0.58
