low,symbol,high,open,percentchange,relvolume,price,watchers,hourchange,sentiment
113.11,EA,115.15,113.11,1.2509,0.7754,114.94,20730,0,-8.33
188.04,TSLA,197.99,188.28,7.8199,0.8096,197.58,888982,5,-1.09
101.22,GOOGL,105.0996,101.25,3.6554,0.949,104.92,159624,3,-2.08
4.2115,AMC,4.4458,4.33,3.2787,0.4458,4.41,411759,14,1.33
98.0,AMZN,100.84,98.14,2.968,0.7329,100.61,586865,0,1.07
7.18,CVNA,8.09,7.19,12.1641,0.3545,7.93,23284,0,0.18
88.71,SONY,89.7,89.08,1.0744,0.8793,89.37,2080,1,0.0
27.975,INTC,29.165,29.0,-2.4005,1.1245,28.46,130849,4,0.57
195.44,ENPH,209.33,196.93,7.8541,1.1827,207.63,37226,2,2.89
197.96,META,203.515,203.2,2.1991,0.9155,202.16,511811,2,1.84
5.3243,SOFI,5.6,5.35,6.705,0.733,5.57,91599,4,0.53
269.53,MSFT,274.95,274.88,0.5694,0.8582,273.78,442011,5,0.47
156.54,AAPL,159.4,157.32,1.1944,0.8214,159.28,876138,9,1.81
93.64,AMD,99.46,97.0,-0.909,1.4062,95.93,455987,0,-1.56
447.07,NOC,454.66,453.79,0.1603,0.472,449.98,8009,0,-9.09
130.19,JPM,131.73,130.59,2.6821,1.1569,130.55,82252,-1,-0.12
253.82,NVDA,263.91,261.8,1.1544,1.0443,261.99,419561,12,0.87
125.66,IBM,127.15,126.9,0.5002,0.5415,126.57,51324,0,6.41
