high,symbol,relvolume,low,percentchange,price,open,watchers,hourchange,sentiment
100.84,AMZN,0.7329,98.0,2.968,100.61,98.14,586865,0,1.07
8.09,CVNA,0.3545,7.18,12.1641,7.93,7.19,23284,0,0.18
89.7,SONY,0.8793,88.71,1.0744,89.37,89.08,2080,1,0.0
29.165,INTC,1.1245,27.975,-2.4005,28.46,29.0,130849,4,0.57
209.33,ENPH,1.1827,195.44,7.8541,207.63,196.93,37226,2,2.89
5.6,SOFI,0.733,5.3243,6.705,5.57,5.35,91599,4,0.53
203.515,META,0.9155,197.96,2.1991,202.16,203.2,511811,2,1.84
274.95,MSFT,0.8582,269.53,0.5694,273.78,274.88,442011,5,0.47
159.4,AAPL,0.8214,156.54,1.1944,159.28,157.32,876138,9,1.81
454.66,NOC,0.472,447.07,0.1603,449.98,453.79,8009,0,-9.09
99.46,AMD,1.4062,93.64,-0.909,95.93,97.0,455987,0,-1.56
263.91,NVDA,1.0443,253.82,1.1544,261.99,261.8,419561,12,0.87
127.08,IBM,0.5415,125.66,0.5002,126.57,126.9,51324,0,6.41
131.73,JPM,1.1569,130.19,2.6821,130.55,130.59,82252,-1,-0.12
115.15,EA,0.7754,113.11,1.2509,114.94,113.11,20730,0,-8.33
197.99,TSLA,0.8096,188.04,7.8199,197.58,188.28,888982,5,-1.09
105.0996,GOOGL,0.949,101.22,3.6554,104.92,101.25,159624,3,-2.08
4.4458,AMC,0.4458,4.2115,3.2787,4.41,4.33,411759,14,1.33
