percentchange,low,price,high,symbol,relvolume,open,watchers,hourchange,sentiment
1.0655,103.8684,105.29,106.25,GOOGL,0.5805,103.91,160582,0,-2.02
-2.9609,270.0,271.04,280.3,NVDA,0.791,276.71,421999,4,1.67
0.4507,90.915,91.38,92.275,SONY,0.7099,90.97,2090,0,0.0
-2.6316,5.88,5.92,6.045,SOFI,0.5018,5.98,91960,0,0.51
-9.7458,160.56,162.99,169.55,TSLA,1.261,166.165,892438,0,-11.56
-0.2903,140.17,140.81,141.4299,JPM,0.5739,139.91,82976,0,-0.63
-0.6058,472.07,474.18,478.4,NOC,0.4428,478.4,8042,-1,11.89
-0.8112,285.08,286.11,289.03,MSFT,0.5981,285.25,443691,11,-2.82
-0.5846,165.56,166.65,167.87,AAPL,0.6838,166.09,878279,5,-2.25
0.0317,125.84,126.36,130.98,IBM,1.7117,130.15,51487,-1,1.34
0.2319,219.31,224.79,226.26,ENPH,0.5575,220.5,37478,0,1.41
-0.4698,103.21,103.81,105.24,AMZN,0.7877,103.53,588824,4,-1.75
-1.2193,212.77,213.07,216.75,META,0.4419,213.48,512987,0,-1.9
0.4837,128.15,128.8,129.56,EA,0.4949,128.28,20703,0,0.0
0.189,88.75,90.11,91.575,AMD,0.7047,88.825,456931,-2,-2.11
-0.931,30.71,30.86,31.25,INTC,0.5128,30.76,131293,0,-1.13
-7.3001,7.91,8.0,8.51,CVNA,0.3562,8.3,23279,0,-3.81
-2.549,4.89,4.97,5.02,AMC,0.2431,5.0,413190,0,1.05
