percentchange,low,symbol,high,price,open,relvolume,watchers,hourchange,sentiment
7.8199,188.04,TSLA,197.99,197.58,188.28,0.8096,888977,14,-0.27
3.6554,101.22,GOOGL,105.0996,104.92,101.25,0.949,159621,4,-1.74
3.2787,4.2115,AMC,4.445,4.41,4.33,0.4458,411745,2,1.38
2.968,98.0,AMZN,100.84,100.61,98.14,0.7329,586865,4,1.47
12.1641,7.18,CVNA,8.09,7.93,7.19,0.3545,23284,1,0.66
1.0744,88.71,SONY,89.7,89.37,89.08,0.8793,2079,0,0.0
-2.4005,27.975,INTC,29.165,28.46,29.0,1.1245,130845,1,1.19
7.8541,195.44,ENPH,209.33,207.63,196.93,1.1827,37224,4,3.07
0.5694,269.53,MSFT,274.95,273.78,274.88,0.8582,442006,8,0.7
6.705,5.3243,SOFI,5.6,5.57,5.35,0.733,91595,2,0.08
2.1991,197.96,META,203.515,202.16,203.2,0.9155,511809,1,1.98
1.1944,156.54,AAPL,159.4,159.28,157.32,0.8214,876129,9,1.72
0.1603,447.07,NOC,454.66,449.98,453.79,0.472,8009,0,0.0
2.6821,130.19,JPM,131.73,130.55,130.59,1.1569,82253,1,0.68
-0.909,93.64,AMD,99.46,95.93,97.0,1.4062,455987,3,-1.4
0.5002,125.66,IBM,127.15,126.57,126.9,0.5415,51324,0,6.41
1.1544,253.82,NVDA,263.91,261.99,261.8,1.0443,419549,9,0.94
1.2509,113.11,EA,115.15,114.94,113.11,0.7754,20730,0,-8.33
