open,high,low,percentchange,relvolume,symbol,price,watchers,hourchange,sentiment
220.5,226.26,219.31,0.2319,0.5575,ENPH,224.79,37478,0,1.77
103.53,105.24,103.21,-0.4698,0.7877,AMZN,103.81,588828,4,-1.92
128.28,129.56,128.15,0.4837,0.4949,EA,128.8,20703,0,0.0
30.76,31.25,30.71,-0.931,0.5128,INTC,30.86,131291,-2,-0.61
88.825,91.575,88.75,0.189,0.7047,AMD,90.11,456932,1,-1.38
8.3,8.51,7.91,-7.3001,0.3562,CVNA,8.0,23279,0,-5.63
5.0,5.02,4.89,-2.549,0.2431,AMC,4.97,413189,-1,0.82
103.91,106.25,103.8684,1.0655,0.5805,GOOGL,105.29,160586,4,-1.32
276.71,280.3,270.0,-2.9609,0.791,NVDA,271.04,422006,7,1.35
90.97,92.275,90.915,0.4507,0.7099,SONY,91.38,2090,0,0.0
5.98,6.045,5.88,-2.6316,0.5018,SOFI,5.92,91960,0,0.16
166.165,169.55,160.56,-9.7458,1.261,TSLA,162.99,892479,41,-9.18
139.91,141.4299,140.17,-0.2903,0.5739,JPM,140.81,82976,0,-0.74
478.4,478.4,472.07,-0.6058,0.4428,NOC,474.18,8041,-1,5.84
285.25,289.03,285.08,-0.8112,0.5981,MSFT,286.11,443694,3,-2.92
130.15,130.98,125.84,0.0317,1.7117,IBM,126.36,51481,-6,4.32
166.09,167.87,165.56,-0.5846,0.6838,AAPL,166.65,878278,-1,-2.57
213.48,216.75,212.77,-1.2193,0.4419,META,213.07,512991,4,-3.16
