price,high,open,relvolume,low,percentchange,symbol,watchers,hourchange,sentiment
204.93,205.76,198.26,1.4445,196.09,3.6308,META,511579,1,2.14
124.7,124.82,122.96,1.2179,121.92,1.1518,IBM,51323,2,7.43
184.13,185.81,180.365,0.6387,178.84,2.0393,TSLA,888566,2,4.0
276.2,276.5,265.205,1.4833,263.28,4.0536,MSFT,441640,-7,6.03
201.1,205.58,204.92,0.7833,198.28,-2.2648,ENPH,36997,0,-0.87
96.6,96.69,89.72,1.9766,89.02,7.7163,AMD,455762,9,5.36
86.39,86.47,84.51,1.0857,84.21,3.1646,SONY,2078,0,-13.33
5.45,5.54,5.3501,0.6438,5.28,0.7394,SOFI,91534,2,1.02
30.18,30.27,28.39,1.5477,28.4,6.2302,INTC,130778,2,5.9
4.39,4.65,4.22,0.764,4.06,4.2755,AMC,411750,2,0.42
113.53,113.79,111.39,0.7185,111.39,1.9303,EA,20735,0,-8.33
7.41,7.585,6.92,0.4207,6.63,5.1064,CVNA,23316,0,0.6
100.04,100.99,95.75,1.0602,95.61,3.9917,AMZN,586498,0,3.92
100.32,101.18,96.2,1.5267,95.5,4.3804,GOOGL,159483,2,2.15
130.75,131.95,128.01,1.8493,126.02,1.9414,JPM,81986,2,3.98
450.15,455.97,449.11,0.8285,448.0,0.2785,NOC,7993,0,5.68
255.41,255.88,240.27,1.1226,238.94,5.4193,NVDA,419037,-4,6.77
155.85,156.42,152.16,0.9062,151.64,1.8694,AAPL,875747,-1,4.25
