high,percentchange,open,price,relvolume,low,symbol,watchers,hourchange,sentiment
131.44,-0.1151,129.91,130.16,0.5897,129.41,JPM,82515,0,3.34
280.0,0.6768,275.09,279.65,0.736,273.36,NVDA,420845,5,1.04
6.275,-0.659,6.14,6.03,0.8172,5.94,SOFI,91844,0,-1.21
91.38,0.7501,90.41,91.33,1.0137,90.41,SONY,2088,0,0.0
5.145,1.996,4.99,5.11,0.4861,4.94,AMC,412536,36,0.45
33.56,0.6734,32.94,32.89,1.0724,32.54,INTC,131144,2,0.27
288.27,-0.3711,286.52,287.23,0.6614,283.95,MSFT,442830,1,-0.02
132.61,0.7399,130.97,132.06,0.5014,130.77,IBM,51354,0,2.17
471.55,1.6179,463.3,469.19,0.4395,462.65,NOC,8034,3,0.0
202.6897,-6.1168,199.91,194.77,0.9487,192.2,TSLA,890355,10,-1.07
213.4861,0.5332,208.84,213.07,0.5014,208.2001,META,512460,2,1.58
121.65,0.7472,120.14,121.35,0.5851,119.6,EA,20708,0,8.33
215.8856,-3.6523,213.98,202.6,0.7684,201.6293,ENPH,37373,1,1.41
166.29,0.7702,164.27,166.17,0.6998,164.27,AAPL,877083,4,1.52
10.16,-5.1073,9.64,9.29,0.4915,9.085,CVNA,23358,-1,-0.11
104.53,0.6073,102.39,104.36,0.5137,102.11,GOOGL,160017,5,2.03
96.79,-1.4794,96.695,96.56,0.7543,94.81,AMD,456503,-4,-1.06
103.29,-0.852,102.3,102.41,0.5293,101.43,AMZN,587686,4,0.96
