high,low,relvolume,open,percentchange,symbol,price,watchers,hourchange,sentiment
280.3,270.0,0.791,276.71,-2.9609,NVDA,271.04,421999,4,1.67
92.275,90.915,0.7099,90.97,0.4507,SONY,91.38,2090,0,0.0
6.045,5.88,0.5018,5.98,-2.6316,SOFI,5.92,91960,0,0.51
169.55,160.56,1.261,166.165,-9.7458,TSLA,162.99,892438,0,-11.56
141.4299,140.17,0.5739,139.91,-0.2903,JPM,140.81,82976,0,-0.63
478.4,472.07,0.4428,478.4,-0.6058,NOC,474.18,8042,-1,11.89
289.03,285.08,0.5981,285.25,-0.8112,MSFT,286.11,443691,11,-2.82
130.98,125.84,1.7117,130.15,0.0317,IBM,126.36,51487,-1,1.34
167.87,165.56,0.6838,166.09,-0.5846,AAPL,166.65,878279,5,-2.25
226.26,219.31,0.5575,220.5,0.2319,ENPH,224.79,37478,0,1.41
216.75,212.77,0.4419,213.48,-1.2193,META,213.07,512987,0,-1.9
105.24,103.21,0.7877,103.53,-0.4698,AMZN,103.81,588824,4,-1.75
129.56,128.15,0.4949,128.28,0.4837,EA,128.8,20703,0,0.0
31.25,30.71,0.5128,30.76,-0.931,INTC,30.86,131293,0,-1.13
91.575,88.75,0.7047,88.825,0.189,AMD,90.11,456931,-2,-2.11
8.51,7.91,0.3562,8.3,-7.3001,CVNA,8.0,23279,0,-3.81
5.02,4.89,0.2431,5.0,-2.549,AMC,4.97,413190,0,1.05
106.25,103.8684,0.5805,103.91,1.0655,GOOGL,105.29,160582,0,-2.02
