relvolume,open,low,percentchange,symbol,price,high,watchers,hourchange,sentiment
1.4445,198.26,196.09,3.6308,META,204.93,205.76,511579,1,2.14
1.2179,122.96,121.92,1.1518,IBM,124.7,124.82,51323,2,7.43
0.6387,180.365,178.84,2.0393,TSLA,184.13,185.81,888566,2,4.0
1.4833,265.205,263.28,4.0536,MSFT,276.2,276.5,441640,-7,6.03
0.7833,204.92,198.28,-2.2648,ENPH,201.1,205.58,36997,0,-0.87
1.9766,89.72,89.02,7.7163,AMD,96.6,96.69,455762,9,5.36
1.0857,84.51,84.21,3.1646,SONY,86.39,86.47,2078,0,-13.33
0.6438,5.3501,5.28,0.7394,SOFI,5.45,5.54,91534,2,1.02
1.5477,28.39,28.4,6.2302,INTC,30.18,30.27,130778,2,5.9
0.764,4.22,4.06,4.2755,AMC,4.39,4.65,411750,2,0.42
0.7185,111.39,111.39,1.9303,EA,113.53,113.79,20735,0,-8.33
0.4207,6.92,6.63,5.1064,CVNA,7.41,7.585,23316,0,0.6
1.0602,95.75,95.61,3.9917,AMZN,100.04,100.99,586498,0,3.92
1.5267,96.2,95.5,4.3804,GOOGL,100.32,101.18,159483,2,2.15
1.8493,128.01,126.02,1.9414,JPM,130.75,131.95,81986,2,3.98
0.8285,449.11,448.0,0.2785,NOC,450.15,455.97,7993,0,5.68
1.1226,240.27,238.94,5.4193,NVDA,255.41,255.88,419037,-4,6.77
0.9062,152.16,151.64,1.8694,AAPL,155.85,156.42,875747,-1,4.25
