percentchange,high,low,symbol,open,price,relvolume,watchers,hourchange,sentiment
-0.2903,141.4299,140.17,JPM,139.91,140.81,0.5739,82976,0,0.11
-0.8112,289.03,285.08,MSFT,285.25,286.11,0.5981,443680,3,-1.02
-0.6058,478.4,472.07,NOC,478.4,474.18,0.4428,8043,0,11.89
0.0317,130.98,125.84,IBM,130.15,126.36,1.7117,51488,-3,-3.23
-0.5846,167.87,165.56,AAPL,166.09,166.65,0.6838,878274,10,0.38
0.4837,129.56,128.15,EA,128.28,128.8,0.4949,20703,0,0.0
-1.2193,216.75,212.77,META,213.48,213.07,0.4419,512987,6,-1.9
-0.4698,105.24,103.21,AMZN,103.53,103.81,0.7877,588820,3,-0.92
0.2319,226.26,219.31,ENPH,220.5,224.79,0.5575,37478,3,1.41
-0.931,31.25,30.71,INTC,30.76,30.86,0.5128,131293,-4,0.22
-7.3001,8.51,7.91,CVNA,8.3,8.0,0.3562,23279,-4,-3.81
0.189,91.575,88.75,AMD,88.825,90.11,0.7047,456933,3,-2.11
-2.549,5.02,4.89,AMC,5.0,4.97,0.2431,413190,5,1.05
1.0655,106.25,103.8684,GOOGL,103.91,105.29,0.5805,160582,1,-2.02
0.4507,92.275,90.915,SONY,90.97,91.38,0.7099,2090,-1,0.0
-9.7458,169.55,160.56,TSLA,166.165,162.99,1.261,892438,32,-11.56
-2.9609,280.3,270.0,NVDA,276.71,271.04,0.791,421995,2,2.93
-2.6316,6.045,5.88,SOFI,5.98,5.92,0.5018,91960,0,0.51
