symbol,relvolume,open,low,percentchange,price,high,watchers,hourchange,sentiment
AMD,0.8904,98.02,95.425,-1.368,96.61,98.93,456276,4,-2.21
IBM,1.0705,126.47,126.47,3.2086,129.31,130.255,51336,0,3.72
SONY,1.0594,87.12,86.33,-1.0168,86.64,87.41,2080,0,0.0
META,0.4942,204.81,201.37,-1.5388,202.84,205.86,512179,0,-0.25
AMZN,0.5885,99.07,97.08,-0.0917,98.04,99.335,587197,2,-0.53
JPM,1.2406,126.79,126.29,2.8661,128.49,129.38,82432,2,-2.07
CVNA,0.2612,8.35,7.57,-6.9597,7.62,8.445,23419,0,-0.54
NOC,0.3979,459.09,455.18,0.659,458.25,459.8,8013,0,0.0
AAPL,0.6029,159.94,157.87,-1.2293,158.28,160.77,876584,-5,-0.33
AMC,0.5515,4.51,4.3,1.7897,4.55,4.58,411963,-3,-0.26
ENPH,0.5969,199.36,191.61,-0.0816,195.83,200.21,37292,-1,0.25
TSLA,0.6504,194.415,189.94,0.7353,191.81,197.39,889474,5,-0.67
EA,0.6373,118.9,118.14,-0.3276,118.64,119.4,20717,0,-5.45
GOOGL,0.6543,104.615,101.9273,-2.8263,102.46,104.76,159787,0,-0.63
INTC,0.6526,29.37,29.08,-0.6131,29.18,29.73,130887,2,1.05
NVDA,0.6791,268.37,263.6501,-0.9261,265.31,269.94,420362,-3,-0.78
MSFT,0.6882,280.5,275.52,-1.4934,276.38,281.4589,442425,0,0.39
SOFI,0.5937,5.82,5.73,0.3484,5.76,5.88,91735,0,0.16
