price,symbol,high,low,open,relvolume,percentchange,watchers,hourchange,sentiment
116.04,EA,116.6,113.665,113.79,0.8094,2.5451,20718,-2,10.0
277.66,MSFT,281.05,275.2,277.94,0.9851,1.9722,442175,4,-2.81
100.28,AMD,102.43,98.675,100.05,1.3328,2.767,456158,5,-3.56
5.78,SOFI,5.88,5.57,5.65,0.908,3.9568,91693,4,0.85
123.37,IBM,124.93,122.6,123.81,0.7541,-0.5482,51330,1,-12.48
271.91,NVDA,274.99,266.9018,271.155,1.0834,2.7316,420058,6,-1.46
126.84,JPM,129.53,126.02,127.9,1.1679,-0.2673,82306,-4,-1.24
204.66,ENPH,214.85,201.875,207.2,0.7403,1.2417,37262,0,1.03
158.93,AAPL,161.55,157.68,158.83,0.8239,0.697,876310,1,-3.25
8.35,CVNA,9.47,7.87,8.63,0.672,-0.949,23438,-2,0.07
204.28,META,207.88,202.155,202.84,0.7536,2.2371,511942,2,-3.15
98.71,AMZN,101.06,97.62,100.43,0.7327,0.0101,587011,0,-3.43
444.44,NOC,446.06,440.81,444.01,0.8075,0.1894,8010,0,0.0
88.27,SONY,89.415,87.702,88.32,1.1967,0.9492,2080,0,0.0
105.6,GOOGL,106.3,104.46,105.06,0.901,2.1573,159705,5,-6.07
192.22,TSLA,199.31,188.65,195.26,0.7694,0.5598,889229,8,-3.98
29.03,INTC,29.16,28.22,28.38,0.8506,3.1994,130859,-3,-10.24
4.47,AMC,4.68,4.34,4.44,0.5333,2.9954,411932,5,-0.29
